x1,x2,x3,y
2045,CO2,RO,0.0
2050,CO2,RO,0.0
2018,CO2,SE,0.0
2025,CO2,SE,0.0
2030,CO2,SE,0.0
2035,CO2,SE,0.0
2040,CO2,SE,0.0
2045,CO2,SE,0.0
2050,CO2,SE,0.0
2018,CO2,SI,0.0
2025,CO2,SI,0.0
2030,CO2,SI,0.0
2035,CO2,SI,0.0
2040,CO2,SI,0.0
2045,CO2,SI,0.0
2050,CO2,SI,0.0
2018,CO2,SK,0.0
2025,CO2,SK,0.0
2030,CO2,SK,0.0
2035,CO2,SK,0.0
2040,CO2,SK,0.0
2045,CO2,SK,0.0
2050,CO2,SK,0.0
2018,CO2,TR,0.0
2025,CO2,TR,0.0
2030,CO2,TR,0.0
2035,CO2,TR,0.0
2040,CO2,TR,0.0
2045,CO2,TR,0.0
2050,CO2,TR,0.0
2018,CO2,UK,0.0
2025,CO2,UK,0.0
2030,CO2,UK,0.0
2035,CO2,UK,0.0
2040,CO2,UK,0.0
2045,CO2,UK,0.0
2050,CO2,UK,0.0
2018,CO2,NONEU_Balkan,0.0
2025,CO2,NONEU_Balkan,0.0
2030,CO2,NONEU_Balkan,0.0
2035,CO2,NONEU_Balkan,0.0
2040,CO2,NONEU_Balkan,0.0
2045,CO2,NONEU_Balkan,0.0
2050,CO2,NONEU_Balkan,0.0
