x1,x2,x3,x4,y
2030,HLI_Fuelcell,1,AT,0.0
2035,HLI_Fuelcell,1,AT,0.0
2040,HLI_Fuelcell,1,AT,0.0
2045,HLI_Fuelcell,1,AT,0.0
2050,HLI_Fuelcell,1,AT,0.0
2018,HLI_Gas_Boiler,1,AT,0.0
2025,HLI_Gas_Boiler,1,AT,0.0
2030,HLI_Gas_Boiler,1,AT,0.0
2035,HLI_Gas_Boiler,1,AT,0.0
2040,HLI_Gas_Boiler,1,AT,0.0
2045,HLI_Gas_Boiler,1,AT,0.0
2050,HLI_Gas_Boiler,1,AT,0.0
2018,HLI_Geothermal,1,AT,0.0
2025,HLI_Geothermal,1,AT,0.0
2030,HLI_Geothermal,1,AT,0.0
2035,HLI_Geothermal,1,AT,0.0
2040,HLI_Geothermal,1,AT,0.0
2045,HLI_Geothermal,1,AT,0.0
2050,HLI_Geothermal,1,AT,0.0
2018,HLI_H2_Boiler,1,AT,0.0
2025,HLI_H2_Boiler,1,AT,0.6297002611953118
2030,HLI_H2_Boiler,1,AT,1.307494960171176
2035,HLI_H2_Boiler,1,AT,1.3909817867139396
2040,HLI_H2_Boiler,1,AT,1.1415930232131308
2045,HLI_H2_Boiler,1,AT,1.368229695301665
2050,HLI_H2_Boiler,1,AT,1.35947543370346
2018,HLI_Hardcoal,1,AT,0.6836247936000001
2025,HLI_Hardcoal,1,AT,0.0
2030,HLI_Hardcoal,1,AT,0.0
2035,HLI_Hardcoal,1,AT,0.0
2040,HLI_Hardcoal,1,AT,0.0
2045,HLI_Hardcoal,1,AT,0.0
2050,HLI_Hardcoal,1,AT,0.0
2018,HLI_Lignite,1,AT,0.0
2025,HLI_Lignite,1,AT,0.0
2030,HLI_Lignite,1,AT,0.0
2035,HLI_Lignite,1,AT,0.0
2040,HLI_Lignite,1,AT,0.0
2045,HLI_Lignite,1,AT,0.0
2050,HLI_Lignite,1,AT,0.0
2018,HLI_Oil_Boiler,1,AT,0.0
2025,HLI_Oil_Boiler,1,AT,0.0
2030,HLI_Oil_Boiler,1,AT,0.0
2035,HLI_Oil_Boiler,1,AT,0.0
2040,HLI_Oil_Boiler,1,AT,0.0
2045,HLI_Oil_Boiler,1,AT,0.0
2050,HLI_Oil_Boiler,1,AT,0.0
2018,HLI_Solar_Thermal,1,AT,0.0
2025,HLI_Solar_Thermal,1,AT,0.0
2030,HLI_Solar_Thermal,1,AT,0.0
2035,HLI_Solar_Thermal,1,AT,0.0
2040,HLI_Solar_Thermal,1,AT,0.0
2045,HLI_Solar_Thermal,1,AT,0.0
2050,HLI_Solar_Thermal,1,AT,0.0
2018,HLR_Biomass,1,AT,47.38410297557643
2025,HLR_Biomass,1,AT,8.940897504
2030,HLR_Biomass,1,AT,5.3645385024
2035,HLR_Biomass,1,AT,0.0
2040,HLR_Biomass,1,AT,0.0
2045,HLR_Biomass,1,AT,0.0
2050,HLR_Biomass,1,AT,0.0
2018,HLR_Direct_Electric,1,AT,7.324551360000001
2025,HLR_Direct_Electric,1,AT,127.0262494642399
2030,HLR_Direct_Electric,1,AT,118.37825089681806
2035,HLR_Direct_Electric,1,AT,110.72327062712472
2040,HLR_Direct_Electric,1,AT,98.71373726817592
2045,HLR_Direct_Electric,1,AT,85.48021398636152
2050,HLR_Direct_Electric,1,AT,97.86467365958482
2018,HLR_Gas_Boiler,1,AT,206.4757400462871
2025,HLR_Gas_Boiler,1,AT,0.0
2030,HLR_Gas_Boiler,1,AT,0.0
2035,HLR_Gas_Boiler,1,AT,0.0
2040,HLR_Gas_Boiler,1,AT,0.0
2045,HLR_Gas_Boiler,1,AT,0.0
2050,HLR_Gas_Boiler,1,AT,0.0
2018,HLR_Geothermal,1,AT,0.0
2025,HLR_Geothermal,1,AT,0.0
2030,HLR_Geothermal,1,AT,0.0
2035,HLR_Geothermal,1,AT,0.0
2040,HLR_Geothermal,1,AT,0.0
2045,HLR_Geothermal,1,AT,0.0
2050,HLR_Geothermal,1,AT,0.0
2018,HLR_H2_Boiler,1,AT,0.0
2025,HLR_H2_Boiler,1,AT,0.14592955710758862
2030,HLR_H2_Boiler,1,AT,3.6845291795824333
2035,HLR_H2_Boiler,1,AT,3.6845291795824333
2040,HLR_H2_Boiler,1,AT,0.0
2045,HLR_H2_Boiler,1,AT,1.2458330387632488
2050,HLR_H2_Boiler,1,AT,17.00158627702741
2018,HLR_Hardcoal,1,AT,0.47964994560000007
2025,HLR_Hardcoal,1,AT,0.0
2030,HLR_Hardcoal,1,AT,0.0
2035,HLR_Hardcoal,1,AT,0.0
2040,HLR_Hardcoal,1,AT,0.0
2045,HLR_Hardcoal,1,AT,0.0
2050,HLR_Hardcoal,1,AT,0.0
2018,HLR_Heatpump_Aerial,1,AT,0.0
2025,HLR_Heatpump_Aerial,1,AT,50.42173921176641
2030,HLR_Heatpump_Aerial,1,AT,48.634629689033055
2035,HLR_Heatpump_Aerial,1,AT,47.02039935907773
2040,HLR_Heatpump_Aerial,1,AT,44.48575100006138
2045,HLR_Heatpump_Aerial,1,AT,40.471738967869534
2050,HLR_Heatpump_Aerial,1,AT,0.0
2018,HLR_Heatpump_Ground,1,AT,0.0
2025,HLR_Heatpump_Ground,1,AT,1.1872373952606345
2030,HLR_Heatpump_Ground,1,AT,1.1645823946718878
2035,HLR_Heatpump_Ground,1,AT,1.144118965536567
