x1,x2,x3,x4,y
2040,HLI_Hardcoal,CO2,AT,0.0
2045,HLI_Hardcoal,CO2,AT,0.0
2050,HLI_Hardcoal,CO2,AT,0.0
2018,HLI_Lignite,CO2,AT,0.0
2025,HLI_Lignite,CO2,AT,0.0
2030,HLI_Lignite,CO2,AT,0.0
2035,HLI_Lignite,CO2,AT,0.0
2040,HLI_Lignite,CO2,AT,0.0
2045,HLI_Lignite,CO2,AT,0.0
2050,HLI_Lignite,CO2,AT,0.0
2018,HLI_Oil_Boiler,CO2,AT,0.0
2025,HLI_Oil_Boiler,CO2,AT,0.0
2030,HLI_Oil_Boiler,CO2,AT,0.0
2035,HLI_Oil_Boiler,CO2,AT,0.0
2040,HLI_Oil_Boiler,CO2,AT,0.0
2045,HLI_Oil_Boiler,CO2,AT,0.0
2050,HLI_Oil_Boiler,CO2,AT,0.0
2018,HLI_Solar_Thermal,CO2,AT,0.0
2025,HLI_Solar_Thermal,CO2,AT,0.0
2030,HLI_Solar_Thermal,CO2,AT,0.0
2035,HLI_Solar_Thermal,CO2,AT,0.0
2040,HLI_Solar_Thermal,CO2,AT,0.0
2045,HLI_Solar_Thermal,CO2,AT,0.0
2050,HLI_Solar_Thermal,CO2,AT,0.0
2018,HLR_Biomass,CO2,AT,0.0
2025,HLR_Biomass,CO2,AT,0.0
2030,HLR_Biomass,CO2,AT,0.0
2035,HLR_Biomass,CO2,AT,0.0
2040,HLR_Biomass,CO2,AT,0.0
2045,HLR_Biomass,CO2,AT,0.0
2050,HLR_Biomass,CO2,AT,0.0
2018,HLR_Direct_Electric,CO2,AT,0.0
2025,HLR_Direct_Electric,CO2,AT,0.0
2030,HLR_Direct_Electric,CO2,AT,0.0
2035,HLR_Direct_Electric,CO2,AT,0.0
2040,HLR_Direct_Electric,CO2,AT,0.0
2045,HLR_Direct_Electric,CO2,AT,0.0
2050,HLR_Direct_Electric,CO2,AT,0.0
2018,HLR_Gas_Boiler,CO2,AT,1356.7892534773605
2025,HLR_Gas_Boiler,CO2,AT,0.0
2030,HLR_Gas_Boiler,CO2,AT,0.0
2035,HLR_Gas_Boiler,CO2,AT,0.0
2040,HLR_Gas_Boiler,CO2,AT,0.0
2045,HLR_Gas_Boiler,CO2,AT,0.0
2050,HLR_Gas_Boiler,CO2,AT,0.0
2018,HLR_Geothermal,CO2,AT,0.0
2025,HLR_Geothermal,CO2,AT,0.0
2030,HLR_Geothermal,CO2,AT,0.0
2035,HLR_Geothermal,CO2,AT,0.0
2040,HLR_Geothermal,CO2,AT,0.0
2045,HLR_Geothermal,CO2,AT,0.0
2050,HLR_Geothermal,CO2,AT,0.0
2018,HLR_H2_Boiler,CO2,AT,0.0
2025,HLR_H2_Boiler,CO2,AT,0.0
2030,HLR_H2_Boiler,CO2,AT,0.0
2035,HLR_H2_Boiler,CO2,AT,0.0
2040,HLR_H2_Boiler,CO2,AT,0.0
2045,HLR_H2_Boiler,CO2,AT,0.0
2050,HLR_H2_Boiler,CO2,AT,0.0
2018,HLR_Hardcoal,CO2,AT,6.377893815044506
2025,HLR_Hardcoal,CO2,AT,0.0
2030,HLR_Hardcoal,CO2,AT,0.0
2035,HLR_Hardcoal,CO2,AT,0.0
2040,HLR_Hardcoal,CO2,AT,0.0
2045,HLR_Hardcoal,CO2,AT,0.0
2050,HLR_Hardcoal,CO2,AT,0.0
2018,HLR_Heatpump_Aerial,CO2,AT,0.0
2025,HLR_Heatpump_Aerial,CO2,AT,0.0
2030,HLR_Heatpump_Aerial,CO2,AT,0.0
2035,HLR_Heatpump_Aerial,CO2,AT,0.0
2040,HLR_Heatpump_Aerial,CO2,AT,0.0
2045,HLR_Heatpump_Aerial,CO2,AT,0.0
2050,HLR_Heatpump_Aerial,CO2,AT,0.0
2018,HLR_Heatpump_Ground,CO2,AT,0.0
2025,HLR_Heatpump_Ground,CO2,AT,0.0
2030,HLR_Heatpump_Ground,CO2,AT,0.0
2035,HLR_Heatpump_Ground,CO2,AT,0.0
2040,HLR_Heatpump_Ground,CO2,AT,0.0
2045,HLR_Heatpump_Ground,CO2,AT,0.0
2050,HLR_Heatpump_Ground,CO2,AT,0.0
2018,HLR_Lignite,CO2,AT,0.0
2025,HLR_Lignite,CO2,AT,0.0
2030,HLR_Lignite,CO2,AT,0.0
2035,HLR_Lignite,CO2,AT,0.0
2040,HLR_Lignite,CO2,AT,0.0
2045,HLR_Lignite,CO2,AT,0.0
2050,HLR_Lignite,CO2,AT,0.0
2018,HLR_Oil_Boiler,CO2,AT,0.0
2025,HLR_Oil_Boiler,CO2,AT,0.0
2030,HLR_Oil_Boiler,CO2,AT,0.0
2035,HLR_Oil_Boiler,CO2,AT,0.0
2040,HLR_Oil_Boiler,CO2,AT,0.0
2045,HLR_Oil_Boiler,CO2,AT,0.0
2050,HLR_Oil_Boiler,CO2,AT,0.0
2018,HLR_Solar_Thermal,CO2,AT,0.0
2025,HLR_Solar_Thermal,CO2,AT,0.0
2030,HLR_Solar_Thermal,CO2,AT,0.0
2035,HLR_Solar_Thermal,CO2,AT,0.0
2040,HLR_Solar_Thermal,CO2,AT,0.0
2045,HLR_Solar_Thermal,CO2,AT,0.0
2050,HLR_Solar_Thermal,CO2,AT,0.0
2018,HMI_Biomass,CO2,AT,0.0
2025,HMI_Biomass,CO2,AT,0.0
2030,HMI_Biomass,CO2,AT,0.0
2035,HMI_Biomass,CO2,AT,0.0
2040,HMI_Biomass,CO2,AT,0.0
2045,HMI_Biomass,CO2,AT,0.0
2050,HMI_Biomass,CO2,AT,0.0
2018,HMI_H2,CO2,AT,0.0
2025,HMI_H2,CO2,AT,0.0
2030,HMI_H2,CO2,AT,0.0
2035,HMI_H2,CO2,AT,0.0
2040,HMI_H2,CO2,AT,0.0
2045,HMI_H2,CO2,AT,0.0
2050,HMI_H2,CO2,AT,0.0
2018,HMI_Gas,CO2,AT,204.9251981082248
2025,HMI_Gas,CO2,AT,0.0
2030,HMI_Gas,CO2,AT,0.0
2035,HMI_Gas,CO2,AT,0.0
2040,HMI_Gas,CO2,AT,0.0
2045,HMI_Gas,CO2,AT,0.0
2050,HMI_Gas,CO2,AT,0.0
2018,HMI_Gas_CCS,CO2,AT,0.0
2025,HMI_Gas_CCS,CO2,AT,0.0
2030,HMI_Gas_CCS,CO2,AT,0.0
2035,HMI_Gas_CCS,CO2,AT,0.0
2040,HMI_Gas_CCS,CO2,AT,0.0
2045,HMI_Gas_CCS,CO2,AT,0.0
2050,HMI_Gas_CCS,CO2,AT,0.0
2018,HMI_HardCoal,CO2,AT,57.14267472737634
2025,HMI_HardCoal,CO2,AT,0.0
2030,HMI_HardCoal,CO2,AT,0.0
2035,HMI_HardCoal,CO2,AT,0.0
2040,HMI_HardCoal,CO2,AT,0.0
2045,HMI_HardCoal,CO2,AT,0.0
2050,HMI_HardCoal,CO2,AT,0.0
2018,HMI_HardCoal_CCS,CO2,AT,0.0
2025,HMI_HardCoal_CCS,CO2,AT,0.0
2030,HMI_HardCoal_CCS,CO2,AT,0.0
2035,HMI_HardCoal_CCS,CO2,AT,0.0
2040,HMI_HardCoal_CCS,CO2,AT,0.0
2045,HMI_HardCoal_CCS,CO2,AT,0.0
2050,HMI_HardCoal_CCS,CO2,AT,0.0
2018,HMI_Oil,CO2,AT,0.0
2025,HMI_Oil,CO2,AT,0.0
2030,HMI_Oil,CO2,AT,0.0
2035,HMI_Oil,CO2,AT,0.0
2040,HMI_Oil,CO2,AT,0.0
2045,HMI_Oil,CO2,AT,0.0
2050,HMI_Oil,CO2,AT,0.0
2018,HMI_Steam_Electric,CO2,AT,0.0
2025,HMI_Steam_Electric,CO2,AT,0.0
2030,HMI_Steam_Electric,CO2,AT,0.0
2035,HMI_Steam_Electric,CO2,AT,0.0
2040,HMI_Steam_Electric,CO2,AT,0.0
2045,HMI_Steam_Electric,CO2,AT,0.0
2050,HMI_Steam_Electric,CO2,AT,0.0
2018,P_Biomass,CO2,AT,0.0
2025,P_Biomass,CO2,AT,0.0
2030,P_Biomass,CO2,AT,0.0
2035,P_Biomass,CO2,AT,0.0
2040,P_Biomass,CO2,AT,0.0
2045,P_Biomass,CO2,AT,0.0
2050,P_Biomass,CO2,AT,0.0
2018,P_Biomass_CCS,CO2,AT,0.0
2025,P_Biomass_CCS,CO2,AT,0.0
2030,P_Biomass_CCS,CO2,AT,0.0
2035,P_Biomass_CCS,CO2,AT,0.0
2040,P_Biomass_CCS,CO2,AT,0.0
