Region,Fuel,Year,Value,Variable
HR,H2,2035,8.075482503690159,Fuel Costs in MEUR/PJ
HU,H2,2035,7.561574839449889,Fuel Costs in MEUR/PJ
IE,H2,2035,23.0,Fuel Costs in MEUR/PJ
IT,H2,2035,8.926367730062779,Fuel Costs in MEUR/PJ
LT,H2,2035,4.6320575087400595,Fuel Costs in MEUR/PJ
LU,H2,2035,7.563315310708761,Fuel Costs in MEUR/PJ
LV,H2,2035,11.131760993002422,Fuel Costs in MEUR/PJ
NL,H2,2035,23.0,Fuel Costs in MEUR/PJ
NO,H2,2035,6.7399854007122215,Fuel Costs in MEUR/PJ
PL,H2,2035,6.797324759951089,Fuel Costs in MEUR/PJ
PT,H2,2035,12.620392272727209,Fuel Costs in MEUR/PJ
RO,H2,2035,11.42283995878673,Fuel Costs in MEUR/PJ
SE,H2,2035,12.182631986730476,Fuel Costs in MEUR/PJ
SI,H2,2035,8.090482080397441,Fuel Costs in MEUR/PJ
SK,H2,2035,7.814939046454075,Fuel Costs in MEUR/PJ
TR,H2,2035,10.199300985366795,Fuel Costs in MEUR/PJ
UK,H2,2035,23.0,Fuel Costs in MEUR/PJ
NONEU_Balkan,H2,2035,7.246716374488679,Fuel Costs in MEUR/PJ
AT,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
BE,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
BG,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
CH,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
CZ,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
DE,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
DK,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
EE,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
ES,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
FI,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
FR,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
GR,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
HR,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
HU,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
IE,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
IT,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
LT,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
LU,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
LV,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
NL,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
NO,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
PL,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
PT,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
RO,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
SE,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
SI,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
SK,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
TR,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
UK,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
NONEU_Balkan,Gas_Natural,2035,4.568004611350032,Fuel Costs in MEUR/PJ
AT,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
BE,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
BG,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
CH,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
CZ,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
DE,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
DK,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
EE,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
ES,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
FI,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
FR,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
GR,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
HR,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
HU,Nuclear,2035,0.6535334884160757,Fuel Costs in MEUR/PJ
IE,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
IT,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
LT,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
LU,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
LV,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
NL,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
NO,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
PL,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
PT,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
RO,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
SE,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
SI,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
SK,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
TR,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
UK,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
NONEU_Balkan,Nuclear,2035,0.6535334884160756,Fuel Costs in MEUR/PJ
AT,Oil,2035,7.14999987702,Fuel Costs in MEUR/PJ
BE,Oil,2035,7.149999877020002,Fuel Costs in MEUR/PJ
BG,Oil,2035,7.149999877019998,Fuel Costs in MEUR/PJ
CH,Oil,2035,7.14999987702,Fuel Costs in MEUR/PJ
CZ,Oil,2035,7.14999987702,Fuel Costs in MEUR/PJ
DE,Oil,2035,7.14999987702,Fuel Costs in MEUR/PJ
DK,Oil,2035,7.149999877020001,Fuel Costs in MEUR/PJ
EE,Oil,2035,7.149999877020002,Fuel Costs in MEUR/PJ
ES,Oil,2035,7.14999987702,Fuel Costs in MEUR/PJ
FI,Oil,2035,7.149999877019999,Fuel Costs in MEUR/PJ
FR,Oil,2035,7.149999877019999,Fuel Costs in MEUR/PJ
GR,Oil,2035,7.149999877019998,Fuel Costs in MEUR/PJ
HR,Oil,2035,7.149999877019999,Fuel Costs in MEUR/PJ
HU,Oil,2035,7.149999877020002,Fuel Costs in MEUR/PJ
IE,Oil,2035,7.14999987702,Fuel Costs in MEUR/PJ
IT,Oil,2035,7.149999877019999,Fuel Costs in MEUR/PJ
LT,Oil,2035,7.149999877019999,Fuel Costs in MEUR/PJ
LU,Oil,2035,7.149999877020001,Fuel Costs in MEUR/PJ
LV,Oil,2035,7.149999877019999,Fuel Costs in MEUR/PJ
NL,Oil,2035,7.149999877020001,Fuel Costs in MEUR/PJ
NO,Oil,2035,7.14999987702,Fuel Costs in MEUR/PJ
PL,Oil,2035,7.149999877020001,Fuel Costs in MEUR/PJ
PT,Oil,2035,7.14999987702,Fuel Costs in MEUR/PJ
RO,Oil,2035,7.14999987702,Fuel Costs in MEUR/PJ
SE,Oil,2035,7.149999877020001,Fuel Costs in MEUR/PJ
SI,Oil,2035,7.14999987702,Fuel Costs in MEUR/PJ
SK,Oil,2035,7.14999987702,Fuel Costs in MEUR/PJ
TR,Oil,2035,7.149999877019999,Fuel Costs in MEUR/PJ
UK,Oil,2035,7.14999987702,Fuel Costs in MEUR/PJ
NONEU_Balkan,Oil,2035,7.14999987702,Fuel Costs in MEUR/PJ
AT,Mobility_Freight,2035,16.511270325782892,Fuel Costs in MEUR/PJ
BE,Mobility_Freight,2035,21.149329803872433,Fuel Costs in MEUR/PJ
BG,Mobility_Freight,2035,19.568409492662912,Fuel Costs in MEUR/PJ
CH,Mobility_Freight,2035,13.18512000500664,Fuel Costs in MEUR/PJ
CZ,Mobility_Freight,2035,15.349955297989565,Fuel Costs in MEUR/PJ
DE,Mobility_Freight,2035,7.192884624944239,Fuel Costs in MEUR/PJ
DK,Mobility_Freight,2035,11.323412997035685,Fuel Costs in MEUR/PJ
EE,Mobility_Freight,2035,12.28422781584852,Fuel Costs in MEUR/PJ
ES,Mobility_Freight,2035,16.130718366153502,Fuel Costs in MEUR/PJ
FI,Mobility_Freight,2035,15.223559187820495,Fuel Costs in MEUR/PJ
FR,Mobility_Freight,2035,17.987086269514464,Fuel Costs in MEUR/PJ
GR,Mobility_Freight,2035,17.270469016035307,Fuel Costs in MEUR/PJ
HR,Mobility_Freight,2035,15.865072411385391,Fuel Costs in MEUR/PJ
HU,Mobility_Freight,2035,15.332733182615184,Fuel Costs in MEUR/PJ
IE,Mobility_Freight,2035,13.6302219455377,Fuel Costs in MEUR/PJ
IT,Mobility_Freight,2035,15.852086705037522,Fuel Costs in MEUR/PJ
LT,Mobility_Freight,2035,8.844804344405755,Fuel Costs in MEUR/PJ
LU,Mobility_Freight,2035,16.777714750171114,Fuel Costs in MEUR/PJ
LV,Mobility_Freight,2035,10.393140364639255,Fuel Costs in MEUR/PJ
NL,Mobility_Freight,2035,17.20437275311857,Fuel Costs in MEUR/PJ
NO,Mobility_Freight,2035,14.880399769440682,Fuel Costs in MEUR/PJ
PL,Mobility_Freight,2035,14.525062517415416,Fuel Costs in MEUR/PJ
PT,Mobility_Freight,2035,17.015002657081418,Fuel Costs in MEUR/PJ
RO,Mobility_Freight,2035,17.14882773042875,Fuel Costs in MEUR/PJ
SE,Mobility_Freight,2035,16.08904328414561,Fuel Costs in MEUR/PJ
SI,Mobility_Freight,2035,12.929506372642484,Fuel Costs in MEUR/PJ
SK,Mobility_Freight,2035,13.322549840040008,Fuel Costs in MEUR/PJ
TR,Mobility_Freight,2035,16.816033931041375,Fuel Costs in MEUR/PJ
UK,Mobility_Freight,2035,16.890678953022906,Fuel Costs in MEUR/PJ
NONEU_Balkan,Mobility_Freight,2035,15.877134531587172,Fuel Costs in MEUR/PJ
AT,Mobility_Passenger,2035,11.244057882066546,Fuel Costs in MEUR/PJ
BE,Mobility_Passenger,2035,13.553809732798427,Fuel Costs in MEUR/PJ
BG,Mobility_Passenger,2035,12.510699323003212,Fuel Costs in MEUR/PJ
CH,Mobility_Passenger,2035,10.185670555527953,Fuel Costs in MEUR/PJ
CZ,Mobility_Passenger,2035,10.249109296899915,Fuel Costs in MEUR/PJ
DE,Mobility_Passenger,2035,2.401881091789861,Fuel Costs in MEUR/PJ
DK,Mobility_Passenger,2035,7.070299329652805,Fuel Costs in MEUR/PJ
EE,Mobility_Passenger,2035,10.717761816876754,Fuel Costs in MEUR/PJ
ES,Mobility_Passenger,2035,9.396492633019397,Fuel Costs in MEUR/PJ
FI,Mobility_Passenger,2035,11.003530404528306,Fuel Costs in MEUR/PJ
FR,Mobility_Passenger,2035,11.96908415557506,Fuel Costs in MEUR/PJ
GR,Mobility_Passenger,2035,10.62598866404287,Fuel Costs in MEUR/PJ
HR,Mobility_Passenger,2035,10.778404433778453,Fuel Costs in MEUR/PJ
HU,Mobility_Passenger,2035,10.197280664864653,Fuel Costs in MEUR/PJ
IE,Mobility_Passenger,2035,9.904936885541147,Fuel Costs in MEUR/PJ
IT,Mobility_Passenger,2035,10.909570135856328,Fuel Costs in MEUR/PJ
LT,Mobility_Passenger,2035,10.33287251006825,Fuel Costs in MEUR/PJ
LU,Mobility_Passenger,2035,10.48123724030059,Fuel Costs in MEUR/PJ
LV,Mobility_Passenger,2035,11.688443541257225,Fuel Costs in MEUR/PJ
NL,Mobility_Passenger,2035,8.542801913265292,Fuel Costs in MEUR/PJ
NO,Mobility_Passenger,2035,10.28772084941593,Fuel Costs in MEUR/PJ
PL,Mobility_Passenger,2035,10.102621518584366,Fuel Costs in MEUR/PJ
PT,Mobility_Passenger,2035,12.038521509297567,Fuel Costs in MEUR/PJ
RO,Mobility_Passenger,2035,11.338635727972527,Fuel Costs in MEUR/PJ
SE,Mobility_Passenger,2035,11.48255860303889,Fuel Costs in MEUR/PJ
SI,Mobility_Passenger,2035,11.288919626389307,Fuel Costs in MEUR/PJ
SK,Mobility_Passenger,2035,10.327595955187602,Fuel Costs in MEUR/PJ
TR,Mobility_Passenger,2035,10.99652391082517,Fuel Costs in MEUR/PJ
UK,Mobility_Passenger,2035,11.434930143627865,Fuel Costs in MEUR/PJ
NONEU_Balkan,Mobility_Passenger,2035,11.08450540093979,Fuel Costs in MEUR/PJ
AT,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
BE,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
BG,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
CH,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
CZ,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
DE,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
DK,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
EE,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
ES,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
FI,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
FR,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
GR,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
HR,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
HU,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
IE,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
IT,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
LT,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
LU,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
LV,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
NL,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
NO,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
PL,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
PT,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
RO,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
SE,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
SI,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
SK,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
TR,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
UK,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
NONEU_Balkan,Lignite,2035,1.211811002366255,Fuel Costs in MEUR/PJ
AT,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
BE,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
BG,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
CH,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
CZ,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
DE,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
DK,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
EE,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
ES,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
FI,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
FR,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
GR,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
HR,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
HU,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
IE,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
IT,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
LT,Gas_Bio,2035,8.06310806428409,Fuel Costs in MEUR/PJ
LU,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
LV,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
NL,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
NO,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
PL,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
PT,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
RO,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
SE,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
SI,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
SK,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
TR,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
UK,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
NONEU_Balkan,Gas_Bio,2035,8.063108064284092,Fuel Costs in MEUR/PJ
AT,Gas_Synth,2035,19.076907960093834,Fuel Costs in MEUR/PJ
BE,Gas_Synth,2035,32.84524368664237,Fuel Costs in MEUR/PJ
BG,Gas_Synth,2035,20.36344102491211,Fuel Costs in MEUR/PJ
CH,Gas_Synth,2035,13.179972212202564,Fuel Costs in MEUR/PJ
CZ,Gas_Synth,2035,13.956914012444482,Fuel Costs in MEUR/PJ
DE,Gas_Synth,2035,-26.7467141312033,Fuel Costs in MEUR/PJ
DK,Gas_Synth,2035,-4.513992655459882,Fuel Costs in MEUR/PJ
EE,Gas_Synth,2035,11.418953960131894,Fuel Costs in MEUR/PJ
ES,Gas_Synth,2035,6.926653525815994,Fuel Costs in MEUR/PJ
FI,Gas_Synth,2035,13.920621719323277,Fuel Costs in MEUR/PJ
FR,Gas_Synth,2035,20.150620525985545,Fuel Costs in MEUR/PJ
GR,Gas_Synth,2035,10.470314788928718,Fuel Costs in MEUR/PJ
HR,Gas_Synth,2035,12.054443163082832,Fuel Costs in MEUR/PJ
HU,Gas_Synth,2035,11.338537155576079,Fuel Costs in MEUR/PJ
IE,Gas_Synth,2035,32.84524368664237,Fuel Costs in MEUR/PJ
IT,Gas_Synth,2035,13.239780311458382,Fuel Costs in MEUR/PJ
LT,Gas_Synth,2035,7.257533500472442,Fuel Costs in MEUR/PJ
LU,Gas_Synth,2035,11.340961742553125,Fuel Costs in MEUR/PJ
LV,Gas_Synth,2035,16.312033160980473,Fuel Costs in MEUR/PJ
NL,Gas_Synth,2035,32.84524368664237,Fuel Costs in MEUR/PJ
NO,Gas_Synth,2035,10.194010899549271,Fuel Costs in MEUR/PJ
PL,Gas_Synth,2035,10.273888267804479,Fuel Costs in MEUR/PJ
PT,Gas_Synth,2035,18.385791056171506,Fuel Costs in MEUR/PJ
RO,Gas_Synth,2035,16.71752464274677,Fuel Costs in MEUR/PJ
SE,Gas_Synth,2035,17.775963181632527,Fuel Costs in MEUR/PJ
SI,Gas_Synth,2035,12.075338525853255,Fuel Costs in MEUR/PJ
SK,Gas_Synth,2035,11.691489583615136,Fuel Costs in MEUR/PJ
TR,Gas_Synth,2035,15.013057162611176,Fuel Costs in MEUR/PJ
UK,Gas_Synth,2035,32.84524368664237,Fuel Costs in MEUR/PJ
NONEU_Balkan,Gas_Synth,2035,10.899919321546855,Fuel Costs in MEUR/PJ
AT,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
BE,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
BG,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
CH,Biofuel,2035,6.951986204866896,Fuel Costs in MEUR/PJ
CZ,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
DE,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
DK,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
EE,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
ES,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
FI,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
FR,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
GR,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
HR,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
HU,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
IE,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
IT,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
LT,Biofuel,2035,6.951986204866896,Fuel Costs in MEUR/PJ
LU,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
LV,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
NL,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
NO,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
PL,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
PT,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
RO,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
SE,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
SI,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
SK,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
TR,Biofuel,2035,6.9519862048668974,Fuel Costs in MEUR/PJ
UK,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
NONEU_Balkan,Biofuel,2035,6.951986204866897,Fuel Costs in MEUR/PJ
AT,Biomass,2040,4.706058038976181,Fuel Costs in MEUR/PJ
BE,Biomass,2040,4.706058038976179,Fuel Costs in MEUR/PJ
BG,Biomass,2040,4.70605803897618,Fuel Costs in MEUR/PJ
CH,Biomass,2040,4.706058038976181,Fuel Costs in MEUR/PJ
CZ,Biomass,2040,4.706058038976179,Fuel Costs in MEUR/PJ
DE,Biomass,2040,4.70605803897618,Fuel Costs in MEUR/PJ
DK,Biomass,2040,4.706058038976181,Fuel Costs in MEUR/PJ
EE,Biomass,2040,4.706058038976179,Fuel Costs in MEUR/PJ
ES,Biomass,2040,4.706058038976179,Fuel Costs in MEUR/PJ
FI,Biomass,2040,4.70605803897618,Fuel Costs in MEUR/PJ
FR,Biomass,2040,4.706058038976181,Fuel Costs in MEUR/PJ
GR,Biomass,2040,4.706058038976181,Fuel Costs in MEUR/PJ
HR,Biomass,2040,4.706058038976181,Fuel Costs in MEUR/PJ
HU,Biomass,2040,4.706058038976179,Fuel Costs in MEUR/PJ
IE,Biomass,2040,4.706058038976181,Fuel Costs in MEUR/PJ
IT,Biomass,2040,4.706058038976179,Fuel Costs in MEUR/PJ
LT,Biomass,2040,4.706058038976178,Fuel Costs in MEUR/PJ
LU,Biomass,2040,4.706058038976181,Fuel Costs in MEUR/PJ
LV,Biomass,2040,4.706058038976178,Fuel Costs in MEUR/PJ
NL,Biomass,2040,4.706058038976178,Fuel Costs in MEUR/PJ
NO,Biomass,2040,4.706058038976179,Fuel Costs in MEUR/PJ
PL,Biomass,2040,4.706058038976179,Fuel Costs in MEUR/PJ
PT,Biomass,2040,4.706058038976179,Fuel Costs in MEUR/PJ
RO,Biomass,2040,4.706058038976179,Fuel Costs in MEUR/PJ
SE,Biomass,2040,4.70605803897618,Fuel Costs in MEUR/PJ
SI,Biomass,2040,4.70605803897618,Fuel Costs in MEUR/PJ
SK,Biomass,2040,4.706058038976181,Fuel Costs in MEUR/PJ
TR,Biomass,2040,4.706058038976181,Fuel Costs in MEUR/PJ
UK,Biomass,2040,4.706058038976181,Fuel Costs in MEUR/PJ
NONEU_Balkan,Biomass,2040,4.706058038976181,Fuel Costs in MEUR/PJ
AT,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
BE,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
BG,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
CH,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
CZ,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
DE,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
DK,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
EE,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
ES,Hardcoal,2040,0.9845994892499997,Fuel Costs in MEUR/PJ
FI,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
FR,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
GR,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
HR,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
HU,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
IE,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
IT,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
LT,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
LU,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
LV,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
NL,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
NO,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
PL,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
PT,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
RO,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
SE,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
SI,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
SK,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
TR,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
UK,Hardcoal,2040,0.98459948925,Fuel Costs in MEUR/PJ
NONEU_Balkan,Hardcoal,2040,0.9845994892499998,Fuel Costs in MEUR/PJ
AT,H2,2040,11.984681049900837,Fuel Costs in MEUR/PJ
BE,H2,2040,7.762578443198655,Fuel Costs in MEUR/PJ
BG,H2,2040,12.91219203894526,Fuel Costs in MEUR/PJ
CH,H2,2040,8.4255598270723,Fuel Costs in MEUR/PJ
CZ,H2,2040,7.762972760306634,Fuel Costs in MEUR/PJ
DE,H2,2040,-31.247566210829028,Fuel Costs in MEUR/PJ
DK,H2,2040,-22.056696817921424,Fuel Costs in MEUR/PJ
EE,H2,2040,6.623148432788104,Fuel Costs in MEUR/PJ
ES,H2,2040,1.9230638362091232,Fuel Costs in MEUR/PJ
FI,H2,2040,8.894826427965658,Fuel Costs in MEUR/PJ
FR,H2,2040,12.970899822262831,Fuel Costs in MEUR/PJ
GR,H2,2040,6.193163960650507,Fuel Costs in MEUR/PJ
HR,H2,2040,7.238324791641355,Fuel Costs in MEUR/PJ
HU,H2,2040,5.679607909982713,Fuel Costs in MEUR/PJ
IE,H2,2040,17.0,Fuel Costs in MEUR/PJ
IT,H2,2040,8.158826634766006,Fuel Costs in MEUR/PJ
LT,H2,2040,0.8038201382754906,Fuel Costs in MEUR/PJ
LU,H2,2040,6.970289127493504,Fuel Costs in MEUR/PJ
LV,H2,2040,10.622689622488126,Fuel Costs in MEUR/PJ
NL,H2,2040,-29.711335023779828,Fuel Costs in MEUR/PJ
NO,H2,2040,4.766669302749416,Fuel Costs in MEUR/PJ
