x1,x2,x3,x4,y
2040,CO2,Infeasibility,CZ,0.0
2045,CO2,Infeasibility,CZ,0.0
2050,CO2,Infeasibility,CZ,0.0
2018,CO2,Power,DE,61.47777236608686
2025,CO2,Power,DE,0.0
2030,CO2,Power,DE,0.0
2035,CO2,Power,DE,0.0
2040,CO2,Power,DE,0.0
2045,CO2,Power,DE,0.0
2050,CO2,Power,DE,0.0
2018,CO2,Industry,DE,197.57564670573782
2025,CO2,Industry,DE,1.8458818396878987
2030,CO2,Industry,DE,0.12294553927995024
2035,CO2,Industry,DE,0.0
2040,CO2,Industry,DE,0.0
2045,CO2,Industry,DE,0.0
2050,CO2,Industry,DE,0.0
2018,CO2,Buildings,DE,135.50836637069625
2025,CO2,Buildings,DE,76.65037244612718
2030,CO2,Buildings,DE,0.0
2035,CO2,Buildings,DE,0.0
2040,CO2,Buildings,DE,0.0
2045,CO2,Buildings,DE,0.0
2050,CO2,Buildings,DE,0.0
2018,CO2,Transportation,DE,26.73192904763662
2025,CO2,Transportation,DE,4.971011739847331
2030,CO2,Transportation,DE,3.4750646712994495
2035,CO2,Transportation,DE,0.5078270680030408
2040,CO2,Transportation,DE,0.3103728900933541
2045,CO2,Transportation,DE,0.3039058393687558
2050,CO2,Transportation,DE,0.10432470298004173
2018,CO2,Resources,DE,0.0
2025,CO2,Resources,DE,0.0
2030,CO2,Resources,DE,0.0
2035,CO2,Resources,DE,0.0
2040,CO2,Resources,DE,0.0
2045,CO2,Resources,DE,0.0
2050,CO2,Resources,DE,0.0
2018,CO2,Storages,DE,0.0
2025,CO2,Storages,DE,0.0
2030,CO2,Storages,DE,0.0
2035,CO2,Storages,DE,0.0
2040,CO2,Storages,DE,0.0
2045,CO2,Storages,DE,0.0
2050,CO2,Storages,DE,0.0
2018,CO2,Transformation,DE,0.0
2025,CO2,Transformation,DE,0.0
2030,CO2,Transformation,DE,0.0
2035,CO2,Transformation,DE,0.0
2040,CO2,Transformation,DE,0.0
2045,CO2,Transformation,DE,0.0
2050,CO2,Transformation,DE,0.0
2018,CO2,CHP,DE,11.44507667195469
2025,CO2,CHP,DE,-38.70607306615455
2030,CO2,CHP,DE,-144.60716998053482
2035,CO2,CHP,DE,-129.49386404344588
2040,CO2,CHP,DE,-149.57765105119634
2045,CO2,CHP,DE,-133.57616377395533
2050,CO2,CHP,DE,-129.05304458893193
2018,CO2,Infeasibility,DE,0.0
2025,CO2,Infeasibility,DE,0.0
2030,CO2,Infeasibility,DE,0.0
2035,CO2,Infeasibility,DE,0.0
2040,CO2,Infeasibility,DE,0.0
2045,CO2,Infeasibility,DE,0.0
2050,CO2,Infeasibility,DE,0.0
2018,CO2,Power,DK,2.364293861660433
2025,CO2,Power,DK,0.0
2030,CO2,Power,DK,0.0
2035,CO2,Power,DK,0.0
2040,CO2,Power,DK,0.0
2045,CO2,Power,DK,0.0
2050,CO2,Power,DK,0.0
2018,CO2,Industry,DK,2.940268756290133
2025,CO2,Industry,DK,0.3053246100242563
2030,CO2,Industry,DK,0.16591343546507845
2035,CO2,Industry,DK,0.0514871503640543
2040,CO2,Industry,DK,0.0
2045,CO2,Industry,DK,0.0
2050,CO2,Industry,DK,0.0
2018,CO2,Buildings,DK,4.238644079599795
2025,CO2,Buildings,DK,0.0
2030,CO2,Buildings,DK,0.0
2035,CO2,Buildings,DK,0.0
2040,CO2,Buildings,DK,0.0
2045,CO2,Buildings,DK,0.0
2050,CO2,Buildings,DK,0.0
2018,CO2,Transportation,DK,1.480241374205528
2025,CO2,Transportation,DK,0.40652617920578404
2030,CO2,Transportation,DK,0.1905393127028917
2035,CO2,Transportation,DK,0.01672729709767541
2040,CO2,Transportation,DK,0.007356375033741691
2045,CO2,Transportation,DK,0.0072099938392424035
2050,CO2,Transportation,DK,0.007065282233502738
2018,CO2,Resources,DK,0.0
2025,CO2,Resources,DK,0.0
2030,CO2,Resources,DK,0.0
2035,CO2,Resources,DK,0.0
2040,CO2,Resources,DK,0.0
2045,CO2,Resources,DK,0.0
2050,CO2,Resources,DK,0.0
2018,CO2,Storages,DK,0.0
2025,CO2,Storages,DK,0.0
2030,CO2,Storages,DK,0.0
2035,CO2,Storages,DK,0.0
2040,CO2,Storages,DK,0.0
2045,CO2,Storages,DK,0.0
2050,CO2,Storages,DK,0.0
2018,CO2,Transformation,DK,0.0
2025,CO2,Transformation,DK,0.0
2030,CO2,Transformation,DK,0.0
2035,CO2,Transformation,DK,0.0
2040,CO2,Transformation,DK,0.0
2045,CO2,Transformation,DK,0.0
2050,CO2,Transformation,DK,0.0
2018,CO2,CHP,DK,0.0
2025,CO2,CHP,DK,0.2515187257807071
2030,CO2,CHP,DK,-2.893064922799593
2035,CO2,CHP,DK,-2.8634626488235777
2040,CO2,CHP,DK,-4.849807185085022
2045,CO2,CHP,DK,-4.854514663270449
2050,CO2,CHP,DK,-4.998176642678357
2018,CO2,Infeasibility,DK,0.0
2025,CO2,Infeasibility,DK,0.0
2030,CO2,Infeasibility,DK,0.0
2035,CO2,Infeasibility,DK,0.0
2040,CO2,Infeasibility,DK,0.0
2045,CO2,Infeasibility,DK,0.0
2050,CO2,Infeasibility,DK,0.0
2018,CO2,Power,EE,7.1508596364856984
2025,CO2,Power,EE,0.0
2030,CO2,Power,EE,0.0
2035,CO2,Power,EE,0.0
2040,CO2,Power,EE,0.0
2045,CO2,Power,EE,0.0
2050,CO2,Power,EE,0.0
2018,CO2,Industry,EE,0.534396175871109
2025,CO2,Industry,EE,0.0
2030,CO2,Industry,EE,0.0
2035,CO2,Industry,EE,0.0
2040,CO2,Industry,EE,0.0
2045,CO2,Industry,EE,0.0
2050,CO2,Industry,EE,0.0
2018,CO2,Buildings,EE,1.8683323922410968
2025,CO2,Buildings,EE,0.0
2030,CO2,Buildings,EE,0.0
2035,CO2,Buildings,EE,0.0
2040,CO2,Buildings,EE,0.0
2045,CO2,Buildings,EE,0.0
2050,CO2,Buildings,EE,0.0
2018,CO2,Transportation,EE,0.29621754926917687
2025,CO2,Transportation,EE,0.0542607111351706
2030,CO2,Transportation,EE,0.03922978365870645
2035,CO2,Transportation,EE,0.0034490217777078985
2040,CO2,Transportation,EE,0.0016496285060260923
2045,CO2,Transportation,EE,0.0016168032911499344
2050,CO2,Transportation,EE,0.0015843524727936085
2018,CO2,Resources,EE,0.0
2025,CO2,Resources,EE,0.0
2030,CO2,Resources,EE,0.0
2035,CO2,Resources,EE,0.0
2040,CO2,Resources,EE,0.0
2045,CO2,Resources,EE,0.0
2050,CO2,Resources,EE,0.0
2018,CO2,Storages,EE,0.0
2025,CO2,Storages,EE,0.0
2030,CO2,Storages,EE,0.0
2035,CO2,Storages,EE,0.0
2040,CO2,Storages,EE,0.0
2045,CO2,Storages,EE,0.0
2050,CO2,Storages,EE,0.0
2018,CO2,Transformation,EE,0.0
2025,CO2,Transformation,EE,0.0
2030,CO2,Transformation,EE,0.0
2035,CO2,Transformation,EE,0.0
2040,CO2,Transformation,EE,0.0
2045,CO2,Transformation,EE,0.0
2050,CO2,Transformation,EE,0.0
2018,CO2,CHP,EE,0.00019737310726711008
2025,CO2,CHP,EE,0.0
