x1,x2,x3,x4,x5,y
MT_FRT_SHIP_RE,8,BE,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,1932,BE,Mobility_Passenger,2018,64.4991087255351
MT_PSNG_RAIL,1932,BE,Mobility_Passenger,2018,62.22890540044334
MT_PSNG_AIR,1932,BE,Mobility_Passenger,2018,62.18477039433637
MT_PSNG_ROAD_RE,1932,BE,Mobility_Passenger,2018,61.89752869350667
MT_PSNG_RAIL_RE,1932,BE,Mobility_Passenger,2018,62.19734423553491
MT_PSNG_AIR_RE,1932,BE,Mobility_Passenger,2018,61.89752869350667
MT_PSNG_ROAD_CONV,1932,BE,Mobility_Passenger,2018,64.4991087255351
MT_PSNG_RAIL_CONV,1932,BE,Mobility_Passenger,2018,61.9290898584151
MT_PSNG_AIR_CONV,1932,BE,Mobility_Passenger,2018,62.18477039433637
MT_FRT_ROAD,1932,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,1932,BE,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,1932,BE,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,1932,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,1932,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,1932,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,1932,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,1932,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,1932,BE,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,3856,BE,Mobility_Passenger,2018,37.97813563023225
MT_PSNG_RAIL,3856,BE,Mobility_Passenger,2018,35.7079323051405
MT_PSNG_AIR,3856,BE,Mobility_Passenger,2018,35.66379729903353
MT_PSNG_ROAD_RE,3856,BE,Mobility_Passenger,2018,35.376555598203836
MT_PSNG_RAIL_RE,3856,BE,Mobility_Passenger,2018,35.67637114023208
MT_PSNG_AIR_RE,3856,BE,Mobility_Passenger,2018,35.376555598203836
MT_PSNG_ROAD_CONV,3856,BE,Mobility_Passenger,2018,37.97813563023225
MT_PSNG_RAIL_CONV,3856,BE,Mobility_Passenger,2018,35.40811676311226
MT_PSNG_AIR_CONV,3856,BE,Mobility_Passenger,2018,35.66379729903353
MT_FRT_ROAD,3856,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,3856,BE,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,3856,BE,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,3856,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,3856,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,3856,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,3856,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,3856,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,3856,BE,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,5780,BE,Mobility_Passenger,2018,10.816323352233075
MT_PSNG_RAIL,5780,BE,Mobility_Passenger,2018,8.546120027141326
MT_PSNG_AIR,5780,BE,Mobility_Passenger,2018,8.501985021034352
MT_PSNG_ROAD_RE,5780,BE,Mobility_Passenger,2018,8.214743320204658
MT_PSNG_RAIL_RE,5780,BE,Mobility_Passenger,2018,8.514558862232898
MT_PSNG_AIR_RE,5780,BE,Mobility_Passenger,2018,8.214743320204658
MT_PSNG_ROAD_CONV,5780,BE,Mobility_Passenger,2018,10.816323352233075
MT_PSNG_RAIL_CONV,5780,BE,Mobility_Passenger,2018,8.246304485113086
MT_PSNG_AIR_CONV,5780,BE,Mobility_Passenger,2018,8.501985021034352
MT_FRT_ROAD,5780,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,5780,BE,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,5780,BE,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,5780,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,5780,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,5780,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,5780,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,5780,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,5780,BE,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,7704,BE,Mobility_Passenger,2018,2.637267948898709
MT_PSNG_RAIL,7704,BE,Mobility_Passenger,2018,0.36706462380695987
MT_PSNG_AIR,7704,BE,Mobility_Passenger,2018,0.3229296176999862
MT_PSNG_ROAD_RE,7704,BE,Mobility_Passenger,2018,0.03568791687029105
MT_PSNG_RAIL_RE,7704,BE,Mobility_Passenger,2018,0.33550345889853167
MT_PSNG_AIR_RE,7704,BE,Mobility_Passenger,2018,0.03568791687029105
MT_PSNG_ROAD_CONV,7704,BE,Mobility_Passenger,2018,2.637267948898709
MT_PSNG_RAIL_CONV,7704,BE,Mobility_Passenger,2018,0.06724908177871924
MT_PSNG_AIR_CONV,7704,BE,Mobility_Passenger,2018,0.3229296176999862
