x1,x2,x3,y
S_Battery_Redox,2045,FI,0.0
S_Heat_HLR,2045,FI,0.0
S_Heat_HLI,2045,FI,0.0
S_CAES,2045,FI,0.0
S_Gas_Methane,2045,FI,0.0
S_PHS,2050,FI,0.0
S_Gas_H2,2050,FI,5.666142936635822
S_Battery_Li-Ion,2050,FI,0.0
S_Battery_Redox,2050,FI,0.0
S_Heat_HLR,2050,FI,0.0
S_Heat_HLI,2050,FI,0.0
S_CAES,2050,FI,0.0
S_Gas_Methane,2050,FI,0.0
S_PHS,2018,FR,0.0
S_Gas_H2,2018,FR,0.0
S_Battery_Li-Ion,2018,FR,0.0
S_Battery_Redox,2018,FR,0.0
S_Heat_HLR,2018,FR,0.0
S_Heat_HLI,2018,FR,0.0
S_CAES,2018,FR,0.0
S_Gas_Methane,2018,FR,0.0
S_PHS,2025,FR,0.0
S_Gas_H2,2025,FR,176.57228713071459
S_Battery_Li-Ion,2025,FR,0.0
S_Battery_Redox,2025,FR,0.0
S_Heat_HLR,2025,FR,0.0
S_Heat_HLI,2025,FR,0.0
S_CAES,2025,FR,0.0
S_Gas_Methane,2025,FR,0.0
S_PHS,2030,FR,0.0
S_Gas_H2,2030,FR,137.43316200244212
S_Battery_Li-Ion,2030,FR,5.652181684549525
S_Battery_Redox,2030,FR,0.0
S_Heat_HLR,2030,FR,0.0
S_Heat_HLI,2030,FR,0.0
S_CAES,2030,FR,0.0
S_Gas_Methane,2030,FR,0.0
S_PHS,2035,FR,0.0
S_Gas_H2,2035,FR,105.73261238798776
S_Battery_Li-Ion,2035,FR,1.4037505035860323
S_Battery_Redox,2035,FR,0.0
S_Heat_HLR,2035,FR,0.0
S_Heat_HLI,2035,FR,0.0
S_CAES,2035,FR,0.0
S_Gas_Methane,2035,FR,0.0
S_PHS,2040,FR,0.0
S_Gas_H2,2040,FR,89.92375942275982
S_Battery_Li-Ion,2040,FR,0.0
S_Battery_Redox,2040,FR,0.0
S_Heat_HLR,2040,FR,0.0
S_Heat_HLI,2040,FR,0.0
S_CAES,2040,FR,0.0
S_Gas_Methane,2040,FR,0.0
S_PHS,2045,FR,0.0
S_Gas_H2,2045,FR,80.42068042825332
S_Battery_Li-Ion,2045,FR,0.0
S_Battery_Redox,2045,FR,0.0
S_Heat_HLR,2045,FR,0.0
S_Heat_HLI,2045,FR,0.0
S_CAES,2045,FR,0.0
S_Gas_Methane,2045,FR,0.0
S_PHS,2050,FR,0.0
S_Gas_H2,2050,FR,65.89133059945804
S_Battery_Li-Ion,2050,FR,0.0
S_Battery_Redox,2050,FR,0.0
S_Heat_HLR,2050,FR,0.0
S_Heat_HLI,2050,FR,0.0
S_CAES,2050,FR,0.0
S_Gas_Methane,2050,FR,0.0
S_PHS,2018,GR,0.0
S_Gas_H2,2018,GR,0.0
S_Battery_Li-Ion,2018,GR,0.0
S_Battery_Redox,2018,GR,0.0
S_Heat_HLR,2018,GR,0.0
