x1,x2,y
HLR_Heatpump_Aerial,BE,0.0
HLR_Heatpump_Ground,BE,2186.0797159552117
HLR_Lignite,BE,0.0
HLR_Oil_Boiler,BE,0.0
HLR_Solar_Thermal,BE,0.0
HMI_Biomass,BE,285.7621536358677
HMI_H2,BE,0.0
HMI_Gas,BE,1788.0177169924152
HMI_Gas_CCS,BE,0.0
HMI_HardCoal,BE,16.268539392
HMI_HardCoal_CCS,BE,0.0
HMI_Oil,BE,0.0
HMI_Steam_Electric,BE,727.1976305048458
P_Biomass,BE,20.354340468587125
P_Biomass_CCS,BE,0.0
P_Coal_Hardcoal,BE,90.42884928
P_Coal_Hardcoal_CCS,BE,0.0
P_Coal_Lignite,BE,0.0
P_Coal_Lignite_CCS,BE,0.0
P_Gas_CCGT,BE,697.6839910988799
P_Gas_Engines,BE,0.0
P_Gas_OCGT,BE,13.61668537878261
P_Gas_CCS,BE,0.0
P_H2_OCGT,BE,0.0
P_Nuclear,BE,1963.2685119425041
P_Oil,BE,0.0
PSNG_Air_Bio,BE,0.0
PSNG_Air_Conv,BE,26.96594173484155
PSNG_Air_H2,BE,17.852780150222266
PSNG_Rail_Conv,BE,4.260757262637803
PSNG_Rail_Electric,BE,69.13635548200733
PSNG_Road_BEV,BE,71.89906552957365
PSNG_Road_H2,BE,49.61141936787655
PSNG_Road_ICE,BE,286.17380352312597
PSNG_Road_LNG,BE,0.0
PSNG_Road_PHEV,BE,0.0
R_Coal_Hardcoal,BE,0.0
R_Coal_Lignite,BE,0.0
R_Gas,BE,0.0
R_Nuclear,BE,5231.7893422693705
R_Oil,BE,0.0
RES_Biogas,BE,0.0
RES_CSP,BE,0.0
RES_Geothermal,BE,0.0
RES_Grass,BE,252.08114876640005
RES_Hydro_Large,BE,127.67357196414298
RES_Hydro_Small,BE,32.63546989285123
RES_Ocean,BE,0.0
RES_Paper_Cardboard,BE,57.76653564000001
RES_PV_Rooftop_Commercial,BE,0.0
RES_PV_Rooftop_Residential,BE,0.0
RES_PV_Utility_Avg,BE,627.144689844014
RES_PV_Utility_Inf,BE,0.0
RES_PV_Utility_Opt,BE,726.1807124849347
RES_PV_Utility_Tracking,BE,3639.4756975779173
RES_Residues,BE,1764.5680413648006
RES_Roundwood,BE,269.2870210800001
RES_Wind_Offshore_Deep,BE,0.0
RES_Wind_Offshore_Shallow,BE,0.0
RES_Wind_Offshore_Transitional,BE,864.4015376333568
RES_Wind_Onshore_Avg,BE,310.8747478459393
RES_Wind_Onshore_Inf,BE,0.0
RES_Wind_Onshore_Opt,BE,1589.2646319986725
RES_Wood,BE,94.53043078740001
X_Biofuel,BE,649.5443146831856
X_DAC_HT,BE,0.0
X_DAC_LT,BE,0.0
X_Electrolysis,BE,245.9362540241358
X_Fuel_Cell,BE,0.0
X_Gasifier,BE,0.0
X_Liquifier,BE,0.0
X_Methanation,BE,0.0
X_Powerfuel,BE,0.0
X_SMR,BE,0.0
X_SMR_CCS,BE,0.0
Z_ETS_Buy,BE,0.0
Z_ETS_Sell,BE,0.0
Z_Import_Gas,BE,3462.5263611777127
Z_Import_H2,BE,0.0
Z_Import_Hardcoal,BE,1944.8224275666585
Z_Import_LNG,BE,0.0
Z_Import_Oil,BE,0.17226884597127595
Infeasibility_Power,BE,0.0
Infeasibility_HLI,BE,0.0
Infeasibility_HMI,BE,0.0
Infeasibility_HHI,BE,0.0
Infeasibility_HRI,BE,0.0
Infeasibility_Mob_Passenger,BE,3782.4556266429163
Infeasibility_Mob_Freight,BE,2336.31773096905
A_Air,BG,0.0
A_Rooftop_Commercial,BG,0.0
A_Rooftop_Residential,BG,0.0
CHP_Biomass_Solid,BG,192.3206827681981
CHP_Biomass_Solid_CCS,BG,0.0
CHP_Coal_Hardcoal,BG,15.6260896701543
CHP_Coal_Hardcoal_CCS,BG,0.0
CHP_Coal_Lignite,BG,0.0
CHP_Coal_Lignite_CCS,BG,0.0
CHP_Gas_CCGT_Biogas,BG,0.0
CHP_Gas_CCGT_Biogas_CCS,BG,0.0
CHP_Gas_CCGT_Natural,BG,192.45244279118103
CHP_Gas_CCGT_Natural_CCS,BG,0.0
CHP_Gas_CCGT_SynGas,BG,210.7822833343437
CHP_Hydrogen_FuelCell,BG,0.0
CHP_Oil,BG,0.0
D_Battery_Li-Ion,BG,0.0
D_Battery_Redox,BG,0.0
D_CAES,BG,0.0
D_Gas_H2,BG,638.6106000859517
D_Gas_Methane,BG,0.0
D_Heat_HLI,BG,0.0
D_Heat_HLR,BG,0.0
D_PHS,BG,0.0
FRT_Rail_Conv,BG,3.5914078040586466
FRT_Rail_Electric,BG,20.417041260539683
FRT_Road_BEV,BG,0.0
FRT_Road_H2,BG,0.0
FRT_Road_ICE,BG,32.77492158963151
FRT_Road_LNG,BG,0.0
FRT_Road_OH,BG,15.961551980448956
FRT_Road_PHEV,BG,0.0
FRT_Ship_Bio,BG,0.8515543101857692
FRT_Ship_Conv,BG,20.43111995197808
FRT_Ship_LNG,BG,0.0
HLI_Convert_DH,BG,234.52046963306043
HLR_Convert_DH,BG,115.57129241903249
HHI_BF_BOF,BG,93.602306544989
HHI_BF_BOF_CCS,BG,0.0
HHI_Bio_BF_BOF,BG,0.0
HHI_DRI_EAF,BG,10.073899130783674
HHI_DRI_EAF_CCS,BG,0.0
HHI_H2DRI_EAF,BG,0.0
HHI_Molten_Electrolysis,BG,0.0
HHI_Scrap_EAF,BG,662.0413950639462
HLI_Biomass,BG,29.150501021640434
HLI_Direct_Electric,BG,1.353651264
HLI_Fuelcell,BG,0.0
HLI_Gas_Boiler,BG,64.43688075897464
HLI_Geothermal,BG,0.0
HLI_H2_Boiler,BG,443.3892959772411
HLI_Hardcoal,BG,0.37209957120000003
HLI_Lignite,BG,0.086534784
HLI_Oil_Boiler,BG,0.0
HLI_Solar_Thermal,BG,0.0
HLR_Biomass,BG,194.8578903538622
HLR_Direct_Electric,BG,1109.0003873687604
HLR_Gas_Boiler,BG,441.07244160223365
HLR_Geothermal,BG,0.0
HLR_H2_Boiler,BG,13.751519543325081
HLR_Hardcoal,BG,20.625565766400005
HLR_Heatpump_Aerial,BG,1.0822912143645027
HLR_Heatpump_Ground,BG,860.351862348974
HLR_Lignite,BG,0.0
HLR_Oil_Boiler,BG,0.0
HLR_Solar_Thermal,BG,0.0
HMI_Biomass,BG,74.0563145305848
HMI_H2,BG,0.0
HMI_Gas,BG,328.3408752869714
HMI_Gas_CCS,BG,0.0
HMI_HardCoal,BG,104.60054911611077
HMI_HardCoal_CCS,BG,0.0
HMI_Oil,BG,0.0
HMI_Steam_Electric,BG,102.98876365389809
P_Biomass,BG,3.4416845447217783
P_Biomass_CCS,BG,0.0
P_Coal_Hardcoal,BG,92.15954496
P_Coal_Hardcoal_CCS,BG,0.0
P_Coal_Lignite,BG,367.23677528898384
P_Coal_Lignite_CCS,BG,0.0
P_Gas_CCGT,BG,73.83582083737085
P_Gas_Engines,BG,0.0
P_Gas_OCGT,BG,0.0
P_Gas_CCS,BG,0.0
P_H2_OCGT,BG,0.0
P_Nuclear,BG,1529.8113600000001
P_Oil,BG,0.0
PSNG_Air_Bio,BG,0.0
PSNG_Air_Conv,BG,14.136266669534365
PSNG_Air_H2,BG,9.358904038201437
PSNG_Rail_Conv,BG,2.233602722688831
PSNG_Rail_Electric,BG,22.30566797122215
PSNG_Road_BEV,BG,68.24897208215198
PSNG_Road_H2,BG,0.0
PSNG_Road_ICE,BG,159.40747297147806
PSNG_Road_LNG,BG,0.0
PSNG_Road_PHEV,BG,0.0
R_Coal_Hardcoal,BG,6.415753424657575
R_Coal_Lignite,BG,874.4886542095808
R_Gas,BG,0.0
R_Nuclear,BG,3957.101651613868
R_Oil,BG,0.0
RES_Biogas,BG,0.0
RES_CSP,BG,0.0
RES_Geothermal,BG,0.0
RES_Grass,BG,301.19877718559997
RES_Hydro_Large,BG,120.5084108952498
RES_Hydro_Small,BG,528.552545509011
RES_Ocean,BG,0.0
RES_Paper_Cardboard,BG,69.09350436
RES_PV_Rooftop_Commercial,BG,0.0
RES_PV_Rooftop_Residential,BG,0.0
RES_PV_Utility_Avg,BG,779.7041676317037
RES_PV_Utility_Inf,BG,0.0
RES_PV_Utility_Opt,BG,1657.5323692568293
RES_PV_Utility_Tracking,BG,1326.2837517694493
RES_Residues,BG,2108.3914402992004
RES_Roundwood,BG,0.0
RES_Wind_Offshore_Deep,BG,0.0
RES_Wind_Offshore_Shallow,BG,0.0
RES_Wind_Offshore_Transitional,BG,975.5129271792523
RES_Wind_Onshore_Avg,BG,88.06115296855927
RES_Wind_Onshore_Inf,BG,0.0
RES_Wind_Onshore_Opt,BG,0.0
RES_Wood,BG,112.9495414446
X_Biofuel,BG,247.5032220686499
X_DAC_HT,BG,0.0
X_DAC_LT,BG,0.0
X_Electrolysis,BG,1488.4805262625705
X_Fuel_Cell,BG,0.0
X_Gasifier,BG,0.0
X_Liquifier,BG,0.0
X_Methanation,BG,244.78980054377232
X_Powerfuel,BG,0.0
X_SMR,BG,0.0
X_SMR_CCS,BG,0.0
Z_ETS_Buy,BG,0.0
Z_ETS_Sell,BG,0.0
Z_Import_Gas,BG,759.8152443015301
Z_Import_H2,BG,0.0
Z_Import_Hardcoal,BG,600.9643724547518
Z_Import_LNG,BG,0.0
Z_Import_Oil,BG,0.0903079287735924
Infeasibility_Power,BG,0.0
Infeasibility_HLI,BG,0.0
Infeasibility_HMI,BG,0.0
Infeasibility_HHI,BG,0.0
Infeasibility_HRI,BG,0.0
Infeasibility_Mob_Passenger,BG,1982.8642340652696
Infeasibility_Mob_Freight,BG,673.8644700237693
A_Air,CH,0.0
A_Rooftop_Commercial,CH,461.2163311998469
A_Rooftop_Residential,CH,499.4546979887332
CHP_Biomass_Solid,CH,0.0
CHP_Biomass_Solid_CCS,CH,0.0
CHP_Coal_Hardcoal,CH,0.0
CHP_Coal_Hardcoal_CCS,CH,0.0
CHP_Coal_Lignite,CH,0.0
CHP_Coal_Lignite_CCS,CH,0.0
CHP_Gas_CCGT_Biogas,CH,0.0
CHP_Gas_CCGT_Biogas_CCS,CH,0.0
CHP_Gas_CCGT_Natural,CH,0.0
CHP_Gas_CCGT_Natural_CCS,CH,0.0
CHP_Gas_CCGT_SynGas,CH,0.0
CHP_Hydrogen_FuelCell,CH,0.0
CHP_Oil,CH,0.0
D_Battery_Li-Ion,CH,112.49820046119757
D_Battery_Redox,CH,0.0
D_CAES,CH,0.0
D_Gas_H2,CH,4737.586059967587
D_Gas_Methane,CH,0.0
D_Heat_HLI,CH,0.04277190574878158
D_Heat_HLR,CH,0.6958444142888802
D_PHS,CH,0.0
FRT_Rail_Conv,CH,11.922340355135155
FRT_Rail_Electric,CH,50.79376885409641
FRT_Road_BEV,CH,0.0
FRT_Road_H2,CH,0.0
FRT_Road_ICE,CH,63.14424706608617
FRT_Road_LNG,CH,0.0
FRT_Road_OH,CH,30.210615630564828
FRT_Road_PHEV,CH,0.0
FRT_Ship_Bio,CH,0.0
FRT_Ship_Conv,CH,0.0
FRT_Ship_LNG,CH,0.0
HLI_Convert_DH,CH,0.0
HLR_Convert_DH,CH,0.0
HHI_BF_BOF,CH,127.64277930406921
HHI_BF_BOF_CCS,CH,0.0
HHI_Bio_BF_BOF,CH,0.0
HHI_DRI_EAF,CH,9.2524227264
HHI_DRI_EAF_CCS,CH,0.0
HHI_H2DRI_EAF,CH,0.0
HHI_Molten_Electrolysis,CH,0.0
HHI_Scrap_EAF,CH,631.6406435813014
HLI_Biomass,CH,18.379549996760016
HLI_Direct_Electric,CH,2.5793546688000006
HLI_Fuelcell,CH,0.0
HLI_Gas_Boiler,CH,62.05994389004385
HLI_Geothermal,CH,0.0
HLI_H2_Boiler,CH,144.36619692441772
HLI_Hardcoal,CH,0.151435872
HLI_Lignite,CH,0.0
HLI_Oil_Boiler,CH,0.0
HLI_Solar_Thermal,CH,40.144917210562134
HLR_Biomass,CH,212.64625859650135
HLR_Direct_Electric,CH,725.1117259178161
HLR_Gas_Boiler,CH,2047.4074082517498
HLR_Geothermal,CH,0.0
HLR_H2_Boiler,CH,61.36520638729914
HLR_Hardcoal,CH,0.0
HLR_Heatpump_Aerial,CH,0.0
HLR_Heatpump_Ground,CH,2400.660398878647
HLR_Lignite,CH,0.0
HLR_Oil_Boiler,CH,0.0
HLR_Solar_Thermal,CH,923.4146517228291
HMI_Biomass,CH,102.51295854947111
HMI_H2,CH,0.0
HMI_Gas,CH,565.5546246687488
HMI_Gas_CCS,CH,0.0
HMI_HardCoal,CH,0.12980217600000002
HMI_HardCoal_CCS,CH,0.0
HMI_Oil,CH,0.0
HMI_Steam_Electric,CH,261.1490662651342
P_Biomass,CH,6.602897493975903
P_Biomass_CCS,CH,0.0
P_Coal_Hardcoal,CH,0.0
P_Coal_Hardcoal_CCS,CH,0.0
P_Coal_Lignite,CH,0.0
P_Coal_Lignite_CCS,CH,0.0
P_Gas_CCGT,CH,2.35952352
P_Gas_Engines,CH,0.0
P_Gas_OCGT,CH,0.0
P_Gas_CCS,CH,0.0
P_H2_OCGT,CH,0.0
P_Nuclear,CH,1140.1408263846924
P_Oil,CH,0.0
PSNG_Air_Bio,CH,0.0
PSNG_Air_Conv,CH,25.337889284235533
PSNG_Air_H2,CH,16.774929327895613
PSNG_Rail_Conv,CH,16.12337788121995
PSNG_Rail_Electric,CH,91.18182958823688
PSNG_Road_BEV,CH,102.75692646419041
PSNG_Road_H2,CH,0.0
PSNG_Road_ICE,CH,241.9742681060153
PSNG_Road_LNG,CH,0.0
PSNG_Road_PHEV,CH,0.0
R_Coal_Hardcoal,CH,0.0
R_Coal_Lignite,CH,0.0
R_Gas,CH,0.0
R_Nuclear,CH,3048.0786272148034
R_Oil,CH,0.0
RES_Biogas,CH,0.0
RES_CSP,CH,0.0
RES_Geothermal,CH,0.0
RES_Grass,CH,392.2835825232
RES_Hydro_Large,CH,3105.181866343675
RES_Hydro_Small,CH,1317.6086285722697
RES_Ocean,CH,0.0
RES_Paper_Cardboard,CH,92.25990612000001
RES_PV_Rooftop_Commercial,CH,2744.4259192148925
RES_PV_Rooftop_Residential,CH,2165.788642896636
RES_PV_Utility_Avg,CH,2508.7603276810587
RES_PV_Utility_Inf,CH,2053.1566963290234
RES_PV_Utility_Opt,CH,2933.080615086336
RES_PV_Utility_Tracking,CH,0.0
RES_Residues,CH,2745.9850776624007
RES_Roundwood,CH,305.29975907522476
RES_Wind_Offshore_Deep,CH,0.0
RES_Wind_Offshore_Shallow,CH,0.0
RES_Wind_Offshore_Transitional,CH,0.0
RES_Wind_Onshore_Avg,CH,6.931345359048381
RES_Wind_Onshore_Inf,CH,0.0
RES_Wind_Onshore_Opt,CH,0.0
RES_Wood,CH,147.10634344620001
X_Biofuel,CH,420.0338466875893
X_DAC_HT,CH,0.0
X_DAC_LT,CH,0.0
X_Electrolysis,CH,6813.78525350044
X_Fuel_Cell,CH,0.0
X_Gasifier,CH,0.0
X_Liquifier,CH,0.0
X_Methanation,CH,3896.846126873183
X_Powerfuel,CH,0.0
X_SMR,CH,0.0
X_SMR_CCS,CH,0.0
Z_ETS_Buy,CH,0.0
Z_ETS_Sell,CH,0.0
Z_Import_Gas,CH,1916.6470502526493
Z_Import_H2,CH,0.0
Z_Import_Hardcoal,CH,289.1703298510887
Z_Import_LNG,CH,0.0
Z_Import_Oil,CH,0.16186821840912613
Infeasibility_Power,CH,0.0
Infeasibility_HLI,CH,0.0
Infeasibility_HMI,CH,0.0
Infeasibility_HHI,CH,0.0
Infeasibility_HRI,CH,0.0
Infeasibility_Mob_Passenger,CH,3554.09215197478
Infeasibility_Mob_Freight,CH,1118.5086744781381
A_Air,CZ,0.0
A_Rooftop_Commercial,CZ,0.0
A_Rooftop_Residential,CZ,385.4882186566508
CHP_Biomass_Solid,CZ,1416.8388905954853
CHP_Biomass_Solid_CCS,CZ,0.0
CHP_Coal_Hardcoal,CZ,0.0
CHP_Coal_Hardcoal_CCS,CZ,0.0
CHP_Coal_Lignite,CZ,0.0
CHP_Coal_Lignite_CCS,CZ,0.0
CHP_Gas_CCGT_Biogas,CZ,0.0
CHP_Gas_CCGT_Biogas_CCS,CZ,0.0
CHP_Gas_CCGT_Natural,CZ,169.9097198229065
CHP_Gas_CCGT_Natural_CCS,CZ,0.0
CHP_Gas_CCGT_SynGas,CZ,454.8309889437112
CHP_Hydrogen_FuelCell,CZ,751.8465387758615
CHP_Oil,CZ,0.0
D_Battery_Li-Ion,CZ,890.4053973186105
D_Battery_Redox,CZ,0.0
D_CAES,CZ,0.0
D_Gas_H2,CZ,1437.618174054093
D_Gas_Methane,CZ,0.0
D_Heat_HLI,CZ,0.0
D_Heat_HLR,CZ,1.4698563009914536
D_PHS,CZ,0.0
FRT_Rail_Conv,CZ,17.423121904577158
FRT_Rail_Electric,CZ,78.33897552902042
FRT_Road_BEV,CZ,0.0
FRT_Road_H2,CZ,0.0
FRT_Road_ICE,CZ,127.76956063356582
FRT_Road_LNG,CZ,0.0
FRT_Road_OH,CZ,61.567941537750144
FRT_Road_PHEV,CZ,0.0
FRT_Ship_Bio,CZ,0.0
FRT_Ship_Conv,CZ,0.0
FRT_Ship_LNG,CZ,0.0
HLI_Convert_DH,CZ,551.5030904024197
HLR_Convert_DH,CZ,1115.6983783245291
HHI_BF_BOF,CZ,674.9646804286601
HHI_BF_BOF_CCS,CZ,0.0
HHI_Bio_BF_BOF,CZ,220.59511179411646
HHI_DRI_EAF,CZ,20.989842618200914
HHI_DRI_EAF_CCS,CZ,0.0
HHI_H2DRI_EAF,CZ,0.0
HHI_Molten_Electrolysis,CZ,0.0
HHI_Scrap_EAF,CZ,1299.1208442584202
HLI_Biomass,CZ,15.106759234953975
HLI_Direct_Electric,CZ,95.79792357963086
HLI_Fuelcell,CZ,0.0
HLI_Gas_Boiler,CZ,45.91857146090457
HLI_Geothermal,CZ,0.0
HLI_H2_Boiler,CZ,46.44566644592424
HLI_Hardcoal,CZ,1.2980217600000001
HLI_Lignite,CZ,3.9113722367999997
HLI_Oil_Boiler,CZ,0.0
HLI_Solar_Thermal,CZ,0.0
HLR_Biomass,CZ,415.86459997641106
HLR_Direct_Electric,CZ,2496.159134185631
HLR_Gas_Boiler,CZ,1189.2696729214001
HLR_Geothermal,CZ,0.0
HLR_H2_Boiler,CZ,12.794515063349255
HLR_Hardcoal,CZ,179.4904489728
HLR_Heatpump_Aerial,CZ,0.0
HLR_Heatpump_Ground,CZ,1134.9431379615858
HLR_Lignite,CZ,0.0
HLR_Oil_Boiler,CZ,0.0
HLR_Solar_Thermal,CZ,2536.9954541670836
HMI_Biomass,CZ,49.21180387807256
HMI_H2,CZ,0.0
HMI_Gas,CZ,1023.4801819519039
HMI_Gas_CCS,CZ,0.0
HMI_HardCoal,CZ,265.5018307400205
HMI_HardCoal_CCS,CZ,0.0
HMI_Oil,CZ,0.0
HMI_Steam_Electric,CZ,402.26925546889197
P_Biomass,CZ,40.872472355695706
P_Biomass_CCS,CZ,0.0
