x1,x2,x3,y
2018,CHP_Oil,AT,0.0
2025,CHP_Oil,AT,0.0
2030,CHP_Oil,AT,0.0
2035,CHP_Oil,AT,0.0
2040,CHP_Oil,AT,0.0
2045,CHP_Oil,AT,0.0
2050,CHP_Oil,AT,0.0
2018,D_Battery_Li-Ion,AT,0.0
2025,D_Battery_Li-Ion,AT,243.0482287365396
2030,D_Battery_Li-Ion,AT,152.84188174080236
2035,D_Battery_Li-Ion,AT,237.20987478478347
2040,D_Battery_Li-Ion,AT,181.77196453416673
2045,D_Battery_Li-Ion,AT,137.13184419977094
2050,D_Battery_Li-Ion,AT,3.1614574181707855
2018,D_Battery_Redox,AT,0.0
2025,D_Battery_Redox,AT,0.0
2030,D_Battery_Redox,AT,0.0
2035,D_Battery_Redox,AT,0.0
2040,D_Battery_Redox,AT,0.0
2045,D_Battery_Redox,AT,0.0
2050,D_Battery_Redox,AT,0.0
2018,D_CAES,AT,0.0
2025,D_CAES,AT,0.0
2030,D_CAES,AT,0.0
2035,D_CAES,AT,0.0
2040,D_CAES,AT,0.0
2045,D_CAES,AT,0.0
2050,D_CAES,AT,0.0
2018,D_Gas_H2,AT,0.0
2025,D_Gas_H2,AT,3.18045884588293
2030,D_Gas_H2,AT,36.35742792820937
2035,D_Gas_H2,AT,36.0708563485865
2040,D_Gas_H2,AT,43.74745789273983
2045,D_Gas_H2,AT,47.591410800385255
2050,D_Gas_H2,AT,53.420923918228546
2018,D_Gas_Methane,AT,0.0
2025,D_Gas_Methane,AT,0.0
2030,D_Gas_Methane,AT,0.0
2035,D_Gas_Methane,AT,0.0
2040,D_Gas_Methane,AT,0.0
2045,D_Gas_Methane,AT,0.0
2050,D_Gas_Methane,AT,0.0
2018,D_Heat_HLI,AT,0.0
2025,D_Heat_HLI,AT,0.0
2030,D_Heat_HLI,AT,0.0
2035,D_Heat_HLI,AT,0.0
2040,D_Heat_HLI,AT,0.0
2045,D_Heat_HLI,AT,0.0
2050,D_Heat_HLI,AT,0.0
2018,D_Heat_HLR,AT,0.0
2025,D_Heat_HLR,AT,0.0
2030,D_Heat_HLR,AT,0.0
2035,D_Heat_HLR,AT,0.0
2040,D_Heat_HLR,AT,0.0
2045,D_Heat_HLR,AT,0.0
2050,D_Heat_HLR,AT,0.013687135714592475
2018,D_PHS,AT,0.0
2025,D_PHS,AT,0.0
2030,D_PHS,AT,0.0
2035,D_PHS,AT,0.0
2040,D_PHS,AT,0.0
2045,D_PHS,AT,0.0
2050,D_PHS,AT,0.0
2018,FRT_Rail_Conv,AT,0.08235038924434593
2025,FRT_Rail_Conv,AT,0.08235038924434593
2030,FRT_Rail_Conv,AT,0.08235038924434593
2035,FRT_Rail_Conv,AT,0.08235038924434593
2040,FRT_Rail_Conv,AT,0.08235038924434593
2045,FRT_Rail_Conv,AT,0.0
2050,FRT_Rail_Conv,AT,0.0
2018,FRT_Rail_Electric,AT,0.2104509947355506
2025,FRT_Rail_Electric,AT,0.24769716078644344
2030,FRT_Rail_Electric,AT,0.25740444166970183
2035,FRT_Rail_Electric,AT,0.26720879536179315
2040,FRT_Rail_Electric,AT,0.33076659717708407
2045,FRT_Rail_Electric,AT,0.4431831403966599
2050,FRT_Rail_Electric,AT,0.48311411292259226
2018,FRT_Road_BEV,AT,0.0
2025,FRT_Road_BEV,AT,0.0
2030,FRT_Road_BEV,AT,0.0
2035,FRT_Road_BEV,AT,0.0
2040,FRT_Road_BEV,AT,0.0
2045,FRT_Road_BEV,AT,0.0
2050,FRT_Road_BEV,AT,0.0
2018,FRT_Road_H2,AT,0.0
2025,FRT_Road_H2,AT,0.0
2030,FRT_Road_H2,AT,0.0
2035,FRT_Road_H2,AT,0.0
2040,FRT_Road_H2,AT,0.0
2045,FRT_Road_H2,AT,0.0
2050,FRT_Road_H2,AT,0.0
2018,FRT_Road_ICE,AT,0.603902854458537
2025,FRT_Road_ICE,AT,0.603902854458537
2030,FRT_Road_ICE,AT,0.6039028544585369
2035,FRT_Road_ICE,AT,0.6039028544585369
2040,FRT_Road_ICE,AT,0.0
2045,FRT_Road_ICE,AT,0.0
2050,FRT_Road_ICE,AT,0.0
2018,FRT_Road_LNG,AT,0.0
2025,FRT_Road_LNG,AT,0.0
2030,FRT_Road_LNG,AT,0.0
2035,FRT_Road_LNG,AT,0.0
2040,FRT_Road_LNG,AT,0.0
2045,FRT_Road_LNG,AT,0.0
2050,FRT_Road_LNG,AT,0.0
2018,FRT_Road_OH,AT,0.0
2025,FRT_Road_OH,AT,0.01736312207000809
2030,FRT_Road_OH,AT,0.017363122070008095
2035,FRT_Road_OH,AT,0.01736312207000809
2040,FRT_Road_OH,AT,0.5733557731793714
2045,FRT_Road_OH,AT,0.5653971915327721
2050,FRT_Road_OH,AT,0.5653971915327722
2018,FRT_Road_PHEV,AT,0.0
2025,FRT_Road_PHEV,AT,0.0
2030,FRT_Road_PHEV,AT,0.0
2035,FRT_Road_PHEV,AT,0.0
2040,FRT_Road_PHEV,AT,0.0
2045,FRT_Road_PHEV,AT,0.0
2050,FRT_Road_PHEV,AT,0.0
2018,FRT_Ship_Bio,AT,0.0
2025,FRT_Ship_Bio,AT,0.0011144752677734872
2030,FRT_Ship_Bio,AT,0.0011144752677734872
2035,FRT_Ship_Bio,AT,0.0011144752677734872
2040,FRT_Ship_Bio,AT,0.0011144752677734872
2045,FRT_Ship_Bio,AT,0.001114475267773487
2050,FRT_Ship_Bio,AT,0.010591023277326913
2018,FRT_Ship_Conv,AT,0.01830008649874354
2025,FRT_Ship_Conv,AT,0.01830008649874354
2030,FRT_Ship_Conv,AT,0.01830008649874354
2035,FRT_Ship_Conv,AT,0.01830008649874354
2040,FRT_Ship_Conv,AT,0.01830008649874354
2045,FRT_Ship_Conv,AT,0.018300086498743536
2050,FRT_Ship_Conv,AT,0.0
2018,FRT_Ship_LNG,AT,0.0
2025,FRT_Ship_LNG,AT,0.0
2030,FRT_Ship_LNG,AT,0.0
2035,FRT_Ship_LNG,AT,0.0
2040,FRT_Ship_LNG,AT,0.0
2045,FRT_Ship_LNG,AT,0.0
2050,FRT_Ship_LNG,AT,0.0
2018,HLI_Convert_DH,AT,0.005251827405797688
2025,HLI_Convert_DH,AT,0.004788733188350391
2030,HLI_Convert_DH,AT,0.0021720616909052673
2035,HLI_Convert_DH,AT,0.004566428285080463
2040,HLI_Convert_DH,AT,0.004548428316388882
2045,HLI_Convert_DH,AT,0.004538844320484073
2050,HLI_Convert_DH,AT,0.0039823965286477055
2018,HLR_Convert_DH,AT,0.0606016516716392
2025,HLR_Convert_DH,AT,0.03014791076306803
2030,HLR_Convert_DH,AT,0.016379364453454642
2035,HLR_Convert_DH,AT,0.009861998004302692
2040,HLR_Convert_DH,AT,0.007632712116675343
2045,HLR_Convert_DH,AT,0.007673114411280134
2050,HLR_Convert_DH,AT,0.008097162257726716
