x1,x2,x3,y
2050,CHP_Oil,AT,0.0
2018,D_Battery_Li-Ion,AT,0.0
2025,D_Battery_Li-Ion,AT,0.01961334548819132
2030,D_Battery_Li-Ion,AT,0.0
2035,D_Battery_Li-Ion,AT,0.00571066411089834
2040,D_Battery_Li-Ion,AT,0.006550863761542324
2045,D_Battery_Li-Ion,AT,0.0
2050,D_Battery_Li-Ion,AT,0.0
2018,D_Battery_Redox,AT,0.0
2025,D_Battery_Redox,AT,0.0
2030,D_Battery_Redox,AT,0.0
2035,D_Battery_Redox,AT,0.0
2040,D_Battery_Redox,AT,0.0
2045,D_Battery_Redox,AT,0.0
2050,D_Battery_Redox,AT,0.0
2018,D_CAES,AT,0.0
2025,D_CAES,AT,0.0
2030,D_CAES,AT,0.0
2035,D_CAES,AT,0.0
2040,D_CAES,AT,0.0
2045,D_CAES,AT,0.0
2050,D_CAES,AT,0.0
2018,D_Gas_H2,AT,0.0
2025,D_Gas_H2,AT,0.0022751188227637695
2030,D_Gas_H2,AT,0.019340360791858583
2035,D_Gas_H2,AT,0.0
2040,D_Gas_H2,AT,0.002635816429752967
2045,D_Gas_H2,AT,0.0010742380334203005
2050,D_Gas_H2,AT,0.0030127226674296027
2018,D_Gas_Methane,AT,0.0
2025,D_Gas_Methane,AT,0.0
2030,D_Gas_Methane,AT,0.0
2035,D_Gas_Methane,AT,0.0
2040,D_Gas_Methane,AT,0.0
2045,D_Gas_Methane,AT,0.0
2050,D_Gas_Methane,AT,0.0
2018,D_Heat_HLI,AT,0.0
2025,D_Heat_HLI,AT,0.0
2030,D_Heat_HLI,AT,0.0
2035,D_Heat_HLI,AT,0.0
2040,D_Heat_HLI,AT,0.0
2045,D_Heat_HLI,AT,0.0
2050,D_Heat_HLI,AT,0.0
2018,D_Heat_HLR,AT,0.0
2025,D_Heat_HLR,AT,0.0
2030,D_Heat_HLR,AT,0.0
2035,D_Heat_HLR,AT,0.0
2040,D_Heat_HLR,AT,0.0
2045,D_Heat_HLR,AT,0.0
2050,D_Heat_HLR,AT,27.32559649828015
2018,D_PHS,AT,0.0
2025,D_PHS,AT,0.0
2030,D_PHS,AT,0.0
2035,D_PHS,AT,0.0
2040,D_PHS,AT,0.0
2045,D_PHS,AT,0.0
2050,D_PHS,AT,0.0
2018,FRT_Rail_Conv,AT,3.4851272764227654
2025,FRT_Rail_Conv,AT,0.0
2030,FRT_Rail_Conv,AT,0.0
2035,FRT_Rail_Conv,AT,0.0
2040,FRT_Rail_Conv,AT,0.0
2045,FRT_Rail_Conv,AT,0.0
