x1,x2,y
2035,IT,1290.5113191053988
2040,IT,1386.736221585143
2045,IT,1290.474407387497
2050,IT,1211.0273727712984
2018,LT,46.14862806788906
2025,LT,10.703353468104472
2030,LT,4.964252779764488
2035,LT,0.49345836350495303
2040,LT,22.136385702059062
2045,LT,81.17390646487178
2050,LT,0.10564549843553236
2018,LU,10.577688024244164
2025,LU,15.655428839009636
2030,LU,2.564867900435117
2035,LU,1.477001923198668
2040,LU,0.20471066747187208
2045,LU,0.37003620940349247
2050,LU,0.21358956858702868
2018,LV,25.30924887668136
2025,LV,6.176836374584715
2030,LV,2.5313680851917724
2035,LV,0.8658235720728715
2040,LV,10.680826358328583
2045,LV,56.89771306345172
2050,LV,1.1704579153082009
2018,NL,200.41332557010665
2025,NL,208.39480605997625
2030,NL,77.41762987478407
2035,NL,63.59300750532464
2040,NL,181.76426858220154
2045,NL,213.76576280591894
2050,NL,222.80178171966384
2018,NO,0.21950396626471286
2025,NO,6.449853424390236
2030,NO,0.9303930571667434
2035,NO,68.19728006594849
2040,NO,11.782728434673166
2045,NO,30.712177153783976
2050,NO,13.774379295708885
2018,PL,328.528383591832
2025,PL,84.60898806873575
2030,PL,65.7487009422037
2035,PL,20.168522886394324
2040,PL,213.96130894290687
2045,PL,243.39605007956402
2050,PL,128.78602391744963
2018,PT,119.02463993240347
2025,PT,22.03223681189554
2030,PT,35.902315028121095
2035,PT,1.6327584560659756
2040,PT,3.460326237749536
2045,PT,6.7806264142304915
2050,PT,0.19080036914858423
2018,RO,0.11983680000000003
2025,RO,32.5950987458019
2030,RO,83.65942123221903
2035,RO,41.22320142189515
2040,RO,40.073863014344404
2045,RO,14.904751237732084
2050,RO,1.0239050051807457
2018,SE,0.8266661263068933
2025,SE,49.07858852642506
2030,SE,69.52316973324555
2035,SE,62.27331404637528
2040,SE,31.369287828152707
2045,SE,28.496571433870166
2050,SE,208.5189887547005
2018,SI,32.06377525405914
2025,SI,7.5182209079531015
2030,SI,3.614698439644569
2035,SI,0.6748258794040696
2040,SI,0.586222864124302
2045,SI,0.583527454015049
2050,SI,0.3639892951115932
2018,SK,4.335634349813936
2025,SK,7.109069666189678
2030,SK,0.7264483516619731
2035,SK,0.9558076877405036
2040,SK,14.297049336705703
2045,SK,0.5141212539845917
2050,SK,0.6024513579403237
2018,TR,661.6093047031816
2025,TR,95.7762172825442
2030,TR,125.38580481899913
2035,TR,62.990448506269246
2040,TR,67.29113248937914
2045,TR,0.063072
2050,TR,0.063072
2018,UK,1.0395939103689311
2025,UK,122.7332290605261
2030,UK,5.5747174002480735
2035,UK,9.605865046753474
2040,UK,107.08592451329304
2045,UK,105.4905372803319
2050,UK,74.48568907925055
2018,NONEU_Balkan,102.78897510350397
2025,NONEU_Balkan,268.3810221698408
2030,NONEU_Balkan,10.065963286018597
2035,NONEU_Balkan,1.6394721392725289
2040,NONEU_Balkan,1.0407098833720956
2045,NONEU_Balkan,170.08548224513868
2050,NONEU_Balkan,0.8040144252763612
