x1,x2,x3,x4,y
S_Battery_Redox,2050,5780,AT,0.0
S_Heat_HLR,2050,5780,AT,0.6843567857296238
S_Heat_HLI,2050,5780,AT,0.0
S_CAES,2050,5780,AT,0.0
S_Gas_Methane,2050,5780,AT,0.0
S_PHS,2018,7704,AT,0.0
S_Gas_H2,2018,7704,AT,0.0
S_Battery_Li-Ion,2018,7704,AT,0.0
S_Battery_Redox,2018,7704,AT,0.0
S_Heat_HLR,2018,7704,AT,0.0
S_Heat_HLI,2018,7704,AT,0.0
S_CAES,2018,7704,AT,0.0
S_Gas_Methane,2018,7704,AT,0.0
S_PHS,2025,7704,AT,0.0
S_Gas_H2,2025,7704,AT,2.039532287725952
S_Battery_Li-Ion,2025,7704,AT,0.0
S_Battery_Redox,2025,7704,AT,0.0
S_Heat_HLR,2025,7704,AT,0.0
S_Heat_HLI,2025,7704,AT,0.0
S_CAES,2025,7704,AT,0.0
S_Gas_Methane,2025,7704,AT,0.0
S_PHS,2030,7704,AT,0.0
S_Gas_H2,2030,7704,AT,24.167298197132506
S_Battery_Li-Ion,2030,7704,AT,0.0
S_Battery_Redox,2030,7704,AT,0.0
S_Heat_HLR,2030,7704,AT,0.0
S_Heat_HLI,2030,7704,AT,0.0
S_CAES,2030,7704,AT,0.0
S_Gas_Methane,2030,7704,AT,0.0
S_PHS,2035,7704,AT,0.0
S_Gas_H2,2035,7704,AT,24.167298197132514
S_Battery_Li-Ion,2035,7704,AT,0.0
S_Battery_Redox,2035,7704,AT,0.0
S_Heat_HLR,2035,7704,AT,0.0
S_Heat_HLI,2035,7704,AT,0.0
S_CAES,2035,7704,AT,0.0
S_Gas_Methane,2035,7704,AT,0.0
S_PHS,2040,7704,AT,0.0
S_Gas_H2,2040,7704,AT,29.079555967159767
S_Battery_Li-Ion,2040,7704,AT,0.0
S_Battery_Redox,2040,7704,AT,0.0
S_Heat_HLR,2040,7704,AT,0.0
S_Heat_HLI,2040,7704,AT,0.0
S_CAES,2040,7704,AT,0.0
S_Gas_Methane,2040,7704,AT,0.0
S_PHS,2045,7704,AT,0.0
S_Gas_H2,2045,7704,AT,31.634686004362504
S_Battery_Li-Ion,2045,7704,AT,0.0
S_Battery_Redox,2045,7704,AT,0.0
S_Heat_HLR,2045,7704,AT,0.0
S_Heat_HLI,2045,7704,AT,0.0
S_CAES,2045,7704,AT,0.0
S_Gas_Methane,2045,7704,AT,0.0
S_PHS,2050,7704,AT,0.0
S_Gas_H2,2050,7704,AT,40.78041089322008
S_Battery_Li-Ion,2050,7704,AT,0.0
S_Battery_Redox,2050,7704,AT,0.0
S_Heat_HLR,2050,7704,AT,0.0
S_Heat_HLI,2050,7704,AT,0.0
S_CAES,2050,7704,AT,0.0
S_Gas_Methane,2050,7704,AT,0.0
S_PHS,2018,8,BE,0.0
S_Gas_H2,2018,8,BE,0.0
S_Battery_Li-Ion,2018,8,BE,0.0
S_Battery_Redox,2018,8,BE,0.0
S_Heat_HLR,2018,8,BE,0.0
S_Heat_HLI,2018,8,BE,0.0
S_CAES,2018,8,BE,0.0
S_Gas_Methane,2018,8,BE,0.0
S_PHS,2025,8,BE,0.0
S_Gas_H2,2025,8,BE,0.0
S_Battery_Li-Ion,2025,8,BE,0.0
S_Battery_Redox,2025,8,BE,0.0
S_Heat_HLR,2025,8,BE,0.0
S_Heat_HLI,2025,8,BE,0.0
S_CAES,2025,8,BE,0.0
S_Gas_Methane,2025,8,BE,0.0
S_PHS,2030,8,BE,0.0
S_Gas_H2,2030,8,BE,0.0
S_Battery_Li-Ion,2030,8,BE,0.0
S_Battery_Redox,2030,8,BE,0.0
S_Heat_HLR,2030,8,BE,0.0
S_Heat_HLI,2030,8,BE,0.0
S_CAES,2030,8,BE,0.0
S_Gas_Methane,2030,8,BE,0.0
S_PHS,2035,8,BE,0.0
S_Gas_H2,2035,8,BE,0.0
S_Battery_Li-Ion,2035,8,BE,0.0
S_Battery_Redox,2035,8,BE,0.0
S_Heat_HLR,2035,8,BE,0.0
S_Heat_HLI,2035,8,BE,0.0
S_CAES,2035,8,BE,0.0
S_Gas_Methane,2035,8,BE,0.0
S_PHS,2040,8,BE,0.0
S_Gas_H2,2040,8,BE,0.0
S_Battery_Li-Ion,2040,8,BE,0.0
S_Battery_Redox,2040,8,BE,0.0
S_Heat_HLR,2040,8,BE,0.0
S_Heat_HLI,2040,8,BE,0.0
S_CAES,2040,8,BE,0.0
S_Gas_Methane,2040,8,BE,0.0
S_PHS,2045,8,BE,0.0
S_Gas_H2,2045,8,BE,0.0
S_Battery_Li-Ion,2045,8,BE,0.0
S_Battery_Redox,2045,8,BE,0.0
S_Heat_HLR,2045,8,BE,0.0
S_Heat_HLI,2045,8,BE,0.0
S_CAES,2045,8,BE,0.0
S_Gas_Methane,2045,8,BE,0.0
S_PHS,2050,8,BE,0.0
S_Gas_H2,2050,8,BE,0.0
S_Battery_Li-Ion,2050,8,BE,0.0
S_Battery_Redox,2050,8,BE,0.0
S_Heat_HLR,2050,8,BE,0.0
S_Heat_HLI,2050,8,BE,0.0
S_CAES,2050,8,BE,0.0
S_Gas_Methane,2050,8,BE,0.0
S_PHS,2018,1932,BE,0.0
S_Gas_H2,2018,1932,BE,0.0
S_Battery_Li-Ion,2018,1932,BE,0.0
S_Battery_Redox,2018,1932,BE,0.0
S_Heat_HLR,2018,1932,BE,0.0
S_Heat_HLI,2018,1932,BE,0.0
S_CAES,2018,1932,BE,0.0
S_Gas_Methane,2018,1932,BE,0.0
S_PHS,2025,1932,BE,0.0
S_Gas_H2,2025,1932,BE,0.0
S_Battery_Li-Ion,2025,1932,BE,0.0
S_Battery_Redox,2025,1932,BE,0.0
S_Heat_HLR,2025,1932,BE,0.0
S_Heat_HLI,2025,1932,BE,0.0
S_CAES,2025,1932,BE,0.0
S_Gas_Methane,2025,1932,BE,0.0
S_PHS,2030,1932,BE,0.0
S_Gas_H2,2030,1932,BE,0.0
S_Battery_Li-Ion,2030,1932,BE,0.0
S_Battery_Redox,2030,1932,BE,0.0
S_Heat_HLR,2030,1932,BE,0.0
S_Heat_HLI,2030,1932,BE,0.0
S_CAES,2030,1932,BE,0.0
S_Gas_Methane,2030,1932,BE,0.0
S_PHS,2035,1932,BE,0.0
S_Gas_H2,2035,1932,BE,0.0
S_Battery_Li-Ion,2035,1932,BE,0.0
S_Battery_Redox,2035,1932,BE,0.0
S_Heat_HLR,2035,1932,BE,0.0
S_Heat_HLI,2035,1932,BE,0.0
S_CAES,2035,1932,BE,0.0
S_Gas_Methane,2035,1932,BE,0.0
S_PHS,2040,1932,BE,0.0
S_Gas_H2,2040,1932,BE,0.0
S_Battery_Li-Ion,2040,1932,BE,0.0
S_Battery_Redox,2040,1932,BE,0.0
S_Heat_HLR,2040,1932,BE,0.0
S_Heat_HLI,2040,1932,BE,0.0
S_CAES,2040,1932,BE,0.0
S_Gas_Methane,2040,1932,BE,0.0
S_PHS,2045,1932,BE,0.0
S_Gas_H2,2045,1932,BE,0.0
S_Battery_Li-Ion,2045,1932,BE,0.0
S_Battery_Redox,2045,1932,BE,0.0
S_Heat_HLR,2045,1932,BE,0.0
S_Heat_HLI,2045,1932,BE,0.0
S_CAES,2045,1932,BE,0.0
S_Gas_Methane,2045,1932,BE,0.0
S_PHS,2050,1932,BE,0.0
S_Gas_H2,2050,1932,BE,0.0
S_Battery_Li-Ion,2050,1932,BE,0.0
S_Battery_Redox,2050,1932,BE,0.0
S_Heat_HLR,2050,1932,BE,0.0
S_Heat_HLI,2050,1932,BE,0.0
S_CAES,2050,1932,BE,0.0
S_Gas_Methane,2050,1932,BE,0.0
S_PHS,2018,3856,BE,0.0
S_Gas_H2,2018,3856,BE,0.0
S_Battery_Li-Ion,2018,3856,BE,0.0
S_Battery_Redox,2018,3856,BE,0.0
S_Heat_HLR,2018,3856,BE,0.0
S_Heat_HLI,2018,3856,BE,0.0
S_CAES,2018,3856,BE,0.0
S_Gas_Methane,2018,3856,BE,0.0
S_PHS,2025,3856,BE,0.0
S_Gas_H2,2025,3856,BE,0.0
S_Battery_Li-Ion,2025,3856,BE,25.028099960661624
S_Battery_Redox,2025,3856,BE,0.0
S_Heat_HLR,2025,3856,BE,0.0
S_Heat_HLI,2025,3856,BE,0.0
S_CAES,2025,3856,BE,0.0
S_Gas_Methane,2025,3856,BE,0.0
S_PHS,2030,3856,BE,0.0
S_Gas_H2,2030,3856,BE,0.15825111999640315
S_Battery_Li-Ion,2030,3856,BE,28.379134541277438
S_Battery_Redox,2030,3856,BE,0.0
S_Heat_HLR,2030,3856,BE,0.0
S_Heat_HLI,2030,3856,BE,0.0
S_CAES,2030,3856,BE,0.0
S_Gas_Methane,2030,3856,BE,0.0
S_PHS,2035,3856,BE,0.0
S_Gas_H2,2035,3856,BE,16.12063474328084
S_Battery_Li-Ion,2035,3856,BE,28.45603804928747
S_Battery_Redox,2035,3856,BE,0.0
S_Heat_HLR,2035,3856,BE,0.0
S_Heat_HLI,2035,3856,BE,0.0
S_CAES,2035,3856,BE,0.0
S_Gas_Methane,2035,3856,BE,0.0
S_PHS,2040,3856,BE,0.0
S_Gas_H2,2040,3856,BE,17.308850454413722
S_Battery_Li-Ion,2040,3856,BE,4.12323629072208
S_Battery_Redox,2040,3856,BE,0.0
S_Heat_HLR,2040,3856,BE,0.0
S_Heat_HLI,2040,3856,BE,0.0
S_CAES,2040,3856,BE,0.0
S_Gas_Methane,2040,3856,BE,0.0
S_PHS,2045,3856,BE,0.0
S_Gas_H2,2045,3856,BE,17.308850454413722
S_Battery_Li-Ion,2045,3856,BE,0.0
S_Battery_Redox,2045,3856,BE,0.0
S_Heat_HLR,2045,3856,BE,0.0
S_Heat_HLI,2045,3856,BE,0.0
S_CAES,2045,3856,BE,0.0
S_Gas_Methane,2045,3856,BE,0.0
S_PHS,2050,3856,BE,0.0
S_Gas_H2,2050,3856,BE,26.98641548775283
S_Battery_Li-Ion,2050,3856,BE,0.0
S_Battery_Redox,2050,3856,BE,0.0
S_Heat_HLR,2050,3856,BE,0.0
S_Heat_HLI,2050,3856,BE,0.0
S_CAES,2050,3856,BE,0.0
S_Gas_Methane,2050,3856,BE,0.0
S_PHS,2018,5780,BE,0.0
S_Gas_H2,2018,5780,BE,0.0
S_Battery_Li-Ion,2018,5780,BE,0.0
S_Battery_Redox,2018,5780,BE,0.0
S_Heat_HLR,2018,5780,BE,0.0
