x1,x2,x3,x4,x5,y
MT_FRT_SHIP_CONV,1932,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,1932,BE,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,3856,BE,Mobility_Passenger,2018,31.26337077077888
MT_PSNG_RAIL,3856,BE,Mobility_Passenger,2018,3.4737078634198753
MT_PSNG_AIR,3856,BE,Mobility_Passenger,2018,3.4737078634198753
MT_PSNG_ROAD_RE,3856,BE,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,3856,BE,Mobility_Passenger,2018,2.3158052422799167
MT_PSNG_AIR_RE,3856,BE,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,3856,BE,Mobility_Passenger,2018,30.105468149638924
MT_PSNG_RAIL_CONV,3856,BE,Mobility_Passenger,2018,0.7719350807599723
MT_PSNG_AIR_CONV,3856,BE,Mobility_Passenger,2018,3.4737078634198753
MT_FRT_ROAD,3856,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,3856,BE,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,3856,BE,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,3856,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,3856,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,3856,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,3856,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,3856,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,3856,BE,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,5780,BE,Mobility_Passenger,2018,9.262302825599546
MT_PSNG_RAIL,5780,BE,Mobility_Passenger,2018,1.0291447583999493
MT_PSNG_AIR,5780,BE,Mobility_Passenger,2018,1.0291447583999493
MT_PSNG_ROAD_RE,5780,BE,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,5780,BE,Mobility_Passenger,2018,0.6860965055999663
MT_PSNG_AIR_RE,5780,BE,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,5780,BE,Mobility_Passenger,2018,8.919254572799563
MT_PSNG_RAIL_CONV,5780,BE,Mobility_Passenger,2018,0.22869883519998876
MT_PSNG_AIR_CONV,5780,BE,Mobility_Passenger,2018,1.0291447583999493
MT_FRT_ROAD,5780,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,5780,BE,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,5780,BE,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,5780,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,5780,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,5780,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,5780,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,5780,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,5780,BE,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,7704,BE,Mobility_Passenger,2018,2.637267948898709
MT_PSNG_RAIL,7704,BE,Mobility_Passenger,2018,0.29302977209985653
MT_PSNG_AIR,7704,BE,Mobility_Passenger,2018,0.29302977209985653
MT_PSNG_ROAD_RE,7704,BE,Mobility_Passenger,2018,0.0
MT_PSNG_RAIL_RE,7704,BE,Mobility_Passenger,2018,0.19535318139990435
MT_PSNG_AIR_RE,7704,BE,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD_CONV,7704,BE,Mobility_Passenger,2018,2.539591358198757
MT_PSNG_RAIL_CONV,7704,BE,Mobility_Passenger,2018,0.06511772713330145
MT_PSNG_AIR_CONV,7704,BE,Mobility_Passenger,2018,0.29302977209985653
MT_FRT_ROAD,7704,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL,7704,BE,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_RE,7704,BE,Mobility_Passenger,2018,0.0
MT_FRT_ROAD_CONV,7704,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_RE,7704,BE,Mobility_Passenger,2018,0.0
MT_FRT_RAIL_CONV,7704,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP,7704,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_CONV,7704,BE,Mobility_Passenger,2018,0.0
MT_FRT_SHIP_RE,7704,BE,Mobility_Passenger,2018,0.0
MT_PSNG_ROAD,8,BG,Mobility_Passenger,2018,6.556667804697734
MT_PSNG_RAIL,8,BG,Mobility_Passenger,2018,0.2287209699313163
MT_PSNG_AIR,8,BG,Mobility_Passenger,2018,0.686162909793949
