x1;x2;x3;y;;x1;x2;x3;y;diff;
2018;D_Battery_Li-Ion;AT;0;;2018;D_Battery_Li-Ion;AT;0;0;#DIV/0!
2025;D_Battery_Li-Ion;AT;15,96586506;;2025;D_Battery_Li-Ion;AT;17,40657696;-1,440711901;-9%
2030;D_Battery_Li-Ion;AT;13,05725742;;2030;D_Battery_Li-Ion;AT;16,00204411;-2,944786687;-23%
2035;D_Battery_Li-Ion;AT;15,96586506;;2035;D_Battery_Li-Ion;AT;25,66203745;-9,696172394;-61%
2040;D_Battery_Li-Ion;AT;24,63176735;;2040;D_Battery_Li-Ion;AT;20,34193804;4,289829311;17%
2045;D_Battery_Li-Ion;AT;17,00544558;;2045;D_Battery_Li-Ion;AT;15,89374907;1,111696509;7%
2050;D_Battery_Li-Ion;AT;3,914698657;;2050;D_Battery_Li-Ion;AT;0,379971477;3,53472718;90%
2018;D_Battery_Redox;AT;0;;2018;D_Battery_Redox;AT;0;0;#DIV/0!
2025;D_Battery_Redox;AT;0;;2025;D_Battery_Redox;AT;0;0;#DIV/0!
2030;D_Battery_Redox;AT;0;;2030;D_Battery_Redox;AT;0;0;#DIV/0!
2035;D_Battery_Redox;AT;0;;2035;D_Battery_Redox;AT;0;0;#DIV/0!
2040;D_Battery_Redox;AT;0;;2040;D_Battery_Redox;AT;0;0;#DIV/0!
2045;D_Battery_Redox;AT;0;;2045;D_Battery_Redox;AT;0;0;#DIV/0!
2050;D_Battery_Redox;AT;0;;2050;D_Battery_Redox;AT;0;0;#DIV/0!
2018;D_CAES;AT;0;;2018;D_CAES;AT;0;0;#DIV/0!
2025;D_CAES;AT;0;;2025;D_CAES;AT;0;0;#DIV/0!
2030;D_CAES;AT;0;;2030;D_CAES;AT;0;0;#DIV/0!
2035;D_CAES;AT;0;;2035;D_CAES;AT;0;0;#DIV/0!
2040;D_CAES;AT;0;;2040;D_CAES;AT;0;0;#DIV/0!
2045;D_CAES;AT;0;;2045;D_CAES;AT;0;0;#DIV/0!
2050;D_CAES;AT;0;;2050;D_CAES;AT;0;0;#DIV/0!
2018;D_Gas_H2;AT;0;;2018;D_Gas_H2;AT;0;0;#DIV/0!
2025;D_Gas_H2;AT;3,338785663;;2025;D_Gas_H2;AT;3,957912278;-0,619126616;-19%
2030;D_Gas_H2;AT;3,142237197;;2030;D_Gas_H2;AT;46,89901055;-43,75677335;-1393%
2035;D_Gas_H2;AT;3,384378607;;2035;D_Gas_H2;AT;46,52934954;-43,14497093;-1275%
2040;D_Gas_H2;AT;3,600057148;;2040;D_Gas_H2;AT;56,43172815;-52,831671;-1468%
2045;D_Gas_H2;AT;14,57259741;;2045;D_Gas_H2;AT;61,39020839;-46,81761098;-321%
2050;D_Gas_H2;AT;19,74554524;;2050;D_Gas_H2;AT;68,90994817;-49,16440294;-249%
2018;D_Gas_Methane;AT;0;;2018;D_Gas_Methane;AT;0;0;#DIV/0!
2025;D_Gas_Methane;AT;0;;2025;D_Gas_Methane;AT;0;0;#DIV/0!
2030;D_Gas_Methane;AT;0;;2030;D_Gas_Methane;AT;0;0;#DIV/0!
2035;D_Gas_Methane;AT;0;;2035;D_Gas_Methane;AT;0;0;#DIV/0!
2040;D_Gas_Methane;AT;0;;2040;D_Gas_Methane;AT;0;0;#DIV/0!
2045;D_Gas_Methane;AT;0;;2045;D_Gas_Methane;AT;0;0;#DIV/0!
2050;D_Gas_Methane;AT;0;;2050;D_Gas_Methane;AT;0;0;#DIV/0!
2018;D_Heat_HLI;AT;0;;2018;D_Heat_HLI;AT;0;0;#DIV/0!
2025;D_Heat_HLI;AT;0;;2025;D_Heat_HLI;AT;0;0;#DIV/0!
2030;D_Heat_HLI;AT;0;;2030;D_Heat_HLI;AT;0;0;#DIV/0!
2035;D_Heat_HLI;AT;0;;2035;D_Heat_HLI;AT;0;0;#DIV/0!
2040;D_Heat_HLI;AT;0;;2040;D_Heat_HLI;AT;0;0;#DIV/0!
2045;D_Heat_HLI;AT;0;;2045;D_Heat_HLI;AT;0;0;#DIV/0!
2050;D_Heat_HLI;AT;0;;2050;D_Heat_HLI;AT;0;0;#DIV/0!
2018;D_Heat_HLR;AT;0;;2018;D_Heat_HLR;AT;0;0;#DIV/0!
2025;D_Heat_HLR;AT;0;;2025;D_Heat_HLR;AT;0;0;#DIV/0!
2030;D_Heat_HLR;AT;0;;2030;D_Heat_HLR;AT;0;0;#DIV/0!
2035;D_Heat_HLR;AT;0;;2035;D_Heat_HLR;AT;0;0;#DIV/0!
2040;D_Heat_HLR;AT;0;;2040;D_Heat_HLR;AT;0;0;#DIV/0!
2045;D_Heat_HLR;AT;0;;2045;D_Heat_HLR;AT;0;0;#DIV/0!
2050;D_Heat_HLR;AT;0;;2050;D_Heat_HLR;AT;0,684356786;-0,684356786;#DIV/0!
2018;D_PHS;AT;0;;2018;D_PHS;AT;0;0;#DIV/0!
2025;D_PHS;AT;0;;2025;D_PHS;AT;0;0;#DIV/0!
2030;D_PHS;AT;0;;2030;D_PHS;AT;0;0;#DIV/0!
2035;D_PHS;AT;0;;2035;D_PHS;AT;0;0;#DIV/0!
2040;D_PHS;AT;0;;2040;D_PHS;AT;0;0;#DIV/0!
2045;D_PHS;AT;0;;2045;D_PHS;AT;0;0;#DIV/0!
2050;D_PHS;AT;0;;2050;D_PHS;AT;0;0;#DIV/0!
2018;FRT_Rail_Conv;AT;7,472535569;;2018;FRT_Rail_Conv;AT;0,915004325;6,557531244;88%
2025;FRT_Rail_Conv;AT;3,6600173;;2025;FRT_Rail_Conv;AT;0,915004325;2,745012975;75%
2030;FRT_Rail_Conv;AT;3,6600173;;2030;FRT_Rail_Conv;AT;0,915004325;2,745012975;75%
2035;FRT_Rail_Conv;AT;3,6600173;;2035;FRT_Rail_Conv;AT;0,915004325;2,745012975;75%
2040;FRT_Rail_Conv;AT;3,6600173;;2040;FRT_Rail_Conv;AT;0,915004325;2,745012975;75%
2045;FRT_Rail_Conv;AT;0;;2045;FRT_Rail_Conv;AT;0;0;#DIV/0!
2050;FRT_Rail_Conv;AT;0;;2050;FRT_Rail_Conv;AT;0;0;#DIV/0!
2018;FRT_Rail_Electric;AT;19,09647979;;2018;FRT_Rail_Electric;AT;2,338344386;16,7581354;88%
2025;FRT_Rail_Electric;AT;26,26078237;;2025;FRT_Rail_Electric;AT;2,752190675;23,50859169;90%
2030;FRT_Rail_Electric;AT;29,63800852;;2030;FRT_Rail_Electric;AT;2,860049352;26,77795916;90%
2035;FRT_Rail_Electric;AT;31,30717936;;2035;FRT_Rail_Electric;AT;2,968986615;28,33819275;91%
2040;FRT_Rail_Electric;AT;34,43283728;;2040;FRT_Rail_Electric;AT;3,675184413;30,75765287;89%
2045;FRT_Rail_Electric;AT;40,79568661;;2045;FRT_Rail_Electric;AT;4,924257116;35,8714295;88%
2050;FRT_Rail_Electric;AT;33,72986795;;2050;FRT_Rail_Electric;AT;5,367934588;28,36193336;84%
2018;FRT_Road_BEV;AT;0;;2018;FRT_Road_BEV;AT;0;0;#DIV/0!
